"고유번호","기준연도","행정동코드","행정동명","2007년사용량","2008년사용량","경도","위도"
"89","2008","1106054","제기1동","130.31106400","135.92709000","127.040215","37.5847436"
"90","2008","1106056","전농1동","34.33390100","33.88413700","127.0499775","37.5758438"
"91","2008","1106058","전농3동","48.80425600","49.53346500","127.0611619","37.5807855"
"92","2008","1103073","한강로동","219.77070500","218.53480800","126.9691414","37.5299999"
"93","2008","1103074","한남동","172.28313400","166.77973000","127.0077715","37.5374867"
"96","2008","1106067","장안3동","49.21740400","49.94093600","127.0715842","37.5661067"
"97","2008","1106068","장안4동","47.66716500","48.61084800","127.0718733","37.5770828"
"98","2008","1104052","왕십리2동","31.93522000","33.49434100","127.0279769","37.5614323"
"84","2008","1105059","능동","40.65917100","41.62617600","127.081995","37.551142"
"83","2008","1105058","중곡4동","61.45236000","62.84069900","127.0951459","37.5629686"
"85","2008","1105061","구의2동","73.53589200","73.80289600","127.0946734","37.5518631"
"68","2008","1104056","행당1동","87.42575400","88.53145700","127.0351023","37.5597522"
"69","2008","1104057","행당2동","25.93636200","36.09426100","127.0293608","37.5566818"
"88","2008","1106051","신설동","67.41134300","69.15929700","127.0293241","37.5745106"
"62","2008","1102054","회현동","341.32218200","334.04533500","126.9769755","37.5572557"
"63","2008","1102055","명동","494.56307200","493.66060100","126.983206","37.5616872"
"64","2008","1102057","필동","181.62452600","184.49293800","126.9943278","37.5566962"
"66","2008","1106074","이문1동","28.21498100","29.01771100","127.0653671","37.5975065"
"19","2008","1106066","장안2동","75.39321100","80.21193800","127.0737285","37.5741291"
"20","2008","1101053","사직동","207.65617400","230.03635600","126.9693562","37.5738364"
"21","2008","1101054","삼청동","48.61858600","49.34118500","126.981541","37.5860477"
"24","2008","1101058","교남동","67.40937800","66.71302400","126.9643275","37.5712812"
"22","2008","1101055","부암동","43.32541500","43.01688900","126.9643198","37.5954681"
"23","2008","1101056","평창동","102.83167700","100.09570700","126.9685672","37.6136779"
"77","2008","1104070","용답동","62.36044400","64.02754900","127.057958","37.5613412"
"78","2008","1104071","왕십리도선동","90.02822000","86.34823800","127.0299465","37.5665139"
"79","2008","1104072","금호2.3가동","59.34263600","58.68353600","127.0196534","37.5527101"
"80","2008","1104073","옥수동","57.40798600","57.63995700","127.017035","37.5425349"
"71","2008","1107068","망우3동","38.53485700","40.13942200","127.102815","37.5915716"
"72","2008","1107069","신내1동","89.94799100","92.42765100","127.1034338","37.610154"
"73","2008","1104059","금호1가동","43.49702500","45.31962300","127.0245005","37.5530173"
"74","2008","1104062","금호4가동","41.15011100","42.32971700","127.0227871","37.5435666"
"196","2008","1121061","중앙동","43.86453500","45.31246000","126.9513359","37.484121"
"199","2008","1116065","가양2동","47.59544200","46.80250400","126.85434","37.5683492"
"101","2008","1109073","삼각산동","48.42719800","46.20679000","127.0154022","37.6162901"
"102","2008","1110053","쌍문3동","46.74937700","47.20016300","127.0307557","37.6471216"
"109","2008","1107052","면목2동","75.90271200","80.88086400","127.0787611","37.5891501"
"110","2008","1107054","면목4동","40.38833000","41.64631600","127.0870602","37.5734769"
"113","2008","1111053","월계3동","55.77642100","55.51665700","127.0657929","37.6231698"
"114","2008","1111061","중계1동","66.68668700","67.50294600","127.0734019","37.6498108"
"115","2008","1115051","목1동","335.04859100","344.45950500","126.8762641","37.52705"
"122","2008","1107071","면목본동","92.30418100","94.89997300","127.0891884","37.5889229"
"123","2008","1107072","면목3.8동","72.93736100","75.28496800","127.0967843","37.5847387"
"129","2008","1108061","보문동","50.94075700","52.49562200","127.0195816","37.5830882"
"119","2008","1106078","전농2동","78.46045100","79.16667500","127.0501483","37.5807698"
"120","2008","1106079","답십리3동","68.36468500","68.18451700","127.0504575","37.5704403"
"130","2008","1109062","번3동","43.42005200","42.27892700","127.0433655","37.6234709"
"131","2008","1106077","용두동","118.94171800","113.90512400","127.0349563","37.57743"
"132","2008","1109064","수유2동","53.13338600","53.59893000","127.0195059","37.6450152"
"133","2008","1110054","쌍문4동","37.01202900","37.92526600","127.0300327","37.6554033"
"117","2008","1111072","상계8동","39.48775900","39.62938100","127.0537799","37.6661992"
"118","2008","1112056","갈현2동","66.36124500","67.52879000","126.9126436","37.6183503"
"201","2008","1122067","양재2동","256.85777700","265.90221000","127.0464793","37.4541092"
"112","2008","1110060","창2동","81.83533800","77.64020900","127.0372578","37.6417801"
"126","2008","1116066","가양3동","46.83156000","45.74479200","126.8622364","37.5627583"
"128","2008","1107055","면목5동","29.63407900","30.62086400","127.0789107","37.5822023"
"135","2008","1111063","중계3동","57.20260500","58.16566500","127.0676494","37.6446146"
"104","2008","1107065","묵2동","42.46802100","43.12408300","127.075083","37.6108728"
"99","2008","1108058","돈암1동","70.12252800","70.59953800","127.0244233","37.599316"
"125","2008","1114059","용강동","98.28675600","99.62389100","126.9423661","37.5404748"
"127","2008","1116069","공항동","111.30673600","112.08261300","126.7947412","37.5566442"
"152","2008","1108071","월곡1동","41.90669800","43.02248100","127.0370768","37.6076034"
"154","2008","1106071","회기동","78.18610700","82.04692200","127.0520037","37.5944552"
"144","2008","1108064","정능3동","64.86555900","69.46364900","126.994311","37.614787"
"178","2008","1111073","상계9동","41.92160900","42.35661600","127.0631949","37.6676017"
"197","2008","1122054","서초4동","211.36144200","214.66313300","127.0200266","37.499109"
"206","2008","1115060","신월4동","38.72492500","39.55131900","126.8396852","37.5218161"
"166","2008","1110059","창1동","63.76012600","64.15177100","127.0423736","37.6454302"
"179","2008","1111074","상계10동","34.90972100","37.26415100","127.0585925","37.6598455"
"186","2008","1110055","방학1동","119.07364300","120.04175500","127.0431323","37.6651501"
"193","2008","1115072","신정4동","109.37146000","111.76041200","126.8571714","37.5254653"
"149","2008","1109061","번2동","39.50196800","40.16524800","127.0344734","37.6276871"
"150","2008","1109063","수유1동","61.76426900","63.39820500","127.0087803","37.6295496"
"151","2008","1108066","길음1동","48.99255000","48.95055900","127.0202048","37.6080703"
"158","2008","1107057","면목7동","50.90027400","52.30515400","127.0911624","37.5761301"
"159","2008","1107059","상봉1동","49.53298600","51.21358000","127.0880656","37.6024549"
"160","2008","1107060","상봉2동","75.76344000","77.88693200","127.0817926","37.5945418"
"161","2008","1107061","중화1동","32.74096900","33.23770300","127.0829266","37.6026318"
"162","2008","1109069","삼양동","57.94161700","59.86113800","127.0133716","37.6243866"
"163","2008","1109070","미아동","74.92537900","76.68278800","127.0266289","37.6289612"
"136","2008","1111069","상계5동","53.25368700","53.66257900","127.0700774","37.6633451"
"137","2008","1112058","대조동","107.80082800","112.36227800","126.924346","37.6129551"
"138","2008","1107064","묵1동","90.03265100","90.88335300","127.0832136","37.6128345"
"139","2008","1108060","안암동","117.01255700","120.31840300","127.0275995","37.5868763"
"165","2008","1110057","방학3동","57.58365700","58.01413300","127.0251742","37.6626127"
"153","2008","1108072","월곡2동","88.46964200","90.73052900","127.0446648","37.6032023"
"155","2008","1106072","휘경1동","45.86306400","47.24209100","127.061833","37.5914118"
"156","2008","1106073","휘경2동","54.38335600","55.12338300","127.065974","37.5867326"
"121","2008","1107070","신내2동","42.07575300","40.93042100","127.0906807","37.6090172"
"105","2008","1106065","장안1동","106.01564700","106.19115400","127.0646127","37.5671372"
"106","2008","1106076","이문3동","42.24442300","43.28557400","127.0667615","37.6023909"
"107","2008","1108082","삼선동","89.24538200","92.40388600","127.0115825","37.5864159"
"100","2008","1108084","종암동","132.53434000","138.31727300","127.0329179","37.5976482"
"108","2008","1106080","청량리동","99.39144200","101.19893100","127.0459623","37.5884461"
"111","2008","1110052","쌍문2동","58.09218800","58.58327200","127.037596","37.65647"
"116","2008","1111062","중계2동","37.26204200","37.17169800","127.0635677","37.6418637"
"124","2008","1110061","창3동","187.54486700","183.75072200","127.0414145","37.637731"
"134","2008","1110063","창5동","77.45130000","80.62663200","127.0423315","37.6566244"
"142","2008","1107062","중화2동","70.49965300","72.39399600","127.0748907","37.5989287"
"148","2008","1109060","번1동","74.92154100","79.20448200","127.0308537","37.6383904"
"157","2008","1106075","이문2동","64.27513900","67.37885400","127.0575155","37.5973873"
"164","2008","1110056","방학2동","51.12866200","51.93050700","127.0313205","37.668601"
"147","2008","1108085","석관동","96.56596400","97.90088600","127.0611724","37.6081631"
"189","2008","1109065","수유3동","90.68570100","93.26957800","127.0238872","37.6410633"
"194","2008","1116072","방화3동","55.26851400","56.16844800","126.8153977","37.5829656"
"195","2008","1118053","독산2동","47.76473700","49.19125000","126.9048969","37.4626908"
"198","2008","1117051","신도림동","111.60972400","131.20907100","126.8831808","37.5101829"
"200","2008","1114063","신수동","57.41305500","57.51023000","126.9331156","37.5447268"
"214","2008","1114068","합정동","64.56924600","65.82941800","126.9085437","37.5471898"
"219","2008","1112055","갈현1동","65.24659500","67.01902000","126.9143615","37.6247955"
"229","2008","1114061","염리동","63.56575900","64.52670400","126.9472006","37.5501423"
"190","2008","1113073","충현동","122.10975800","121.37706300","126.9594203","37.5647554"
"191","2008","1113075","신촌동","377.68079400","400.63355200","126.9384315","37.5659638"
"192","2008","1112057","구산동","57.06262700","59.52505800","126.9091326","37.6120976"
"181","2008","1109072","송천동","83.60794800","84.46256600","127.0243166","37.6182289"
"182","2008","1109075","인수동","74.14364300","75.57042500","127.0040789","37.6385455"
"183","2008","1108076","장위1동","45.92665500","47.03833500","127.0444584","37.615589"
"167","2008","1110062","창4동","96.35740200","96.86938600","127.0503232","37.6514095"
"168","2008","1110065","도봉2동","64.10852200","64.75075500","127.0478527","37.6815251"
"140","2008","1108062","정능1동","52.25766000","54.30941400","127.0174838","37.6060713"
"141","2008","1108063","정능2동","46.30877200","46.50674600","127.0074724","37.604141"
"143","2008","1107073","망우본동","116.16173700","117.92670600","127.1055957","37.602601"
"145","2008","1108065","정능4동","70.63545600","75.15794300","126.9951836","37.6222164"
"146","2008","1108083","동선동","85.34837500","87.53516200","127.0184009","37.5936584"
"174","2008","1111060","중계본동","79.39387400","79.83590300","127.0855729","37.6480524"
"176","2008","1111065","상계1동","94.32621500","97.03945600","127.067219","37.6835121"
"177","2008","1111066","상계2동","120.04295200","122.82829400","127.0662128","37.6560265"
"180","2008","1109071","송중동","113.20334600","114.61942900","127.0333957","37.6174199"
"184","2008","1108077","장위2동","55.53957900","57.74629700","127.0530399","37.6126538"
"185","2008","1108078","장위3동","44.41220400","47.01379300","127.0538288","37.6183799"
"187","2008","1108059","돈암2동","17.04222600","17.51686700","127.012714","37.5967953"
"188","2008","1112052","불광1동","85.42850100","82.01787100","126.9372782","37.6181244"
"171","2008","1111076","상계3.4동","89.61984100","90.35300700","127.0810527","37.676222"
"172","2008","1111054","월계4동","52.51971900","53.11605000","127.0571886","37.6315663"
"173","2008","1111058","하계1동","89.89160800","90.27509500","127.0750977","37.6384143"
"210","2008","1116073","화곡1동","127.07741600","131.27765300","126.8413547","37.5341055"
"211","2008","1112059","응암1동","88.88781900","93.00626500","126.9271635","37.5971614"
"212","2008","1112060","응암2동","43.98583100","39.09617700","126.9228547","37.5916628"
"213","2008","1110051","쌍문1동","52.28342400","54.27834400","127.0206282","37.6543185"
"216","2008","1115064","신정1동","58.69682600","59.72497200","126.8599132","37.5181274"
"223","2008","1113071","북가좌1동","33.93899900","29.41822500","126.9084379","37.5756028"
"228","2008","1113076","연희동","114.70616100","117.32105600","126.9318214","37.5721432"
"230","2008","1114066","서교동","268.16259000","290.53088200","126.9228533","37.5550337"
"224","2008","1113072","북가좌2동","65.85472900","69.17573600","126.9139325","37.5811056"
"225","2008","1116061","화곡6동","92.89885400","91.55937700","126.8511714","37.5516082"
"226","2008","1116063","화곡8동","53.56767100","53.73896900","126.847988","37.5337349"
"227","2008","1116064","가양1동","266.05811800","210.29524600","126.8352521","37.5734646"
"215","2008","1115057","신월1동","56.03627800","58.41138200","126.8344994","37.5311542"
"217","2008","1116051","염창동","174.39980600","179.06879200","126.8764141","37.5537467"
"220","2008","1113074","북아현동","46.05907400","47.11734200","126.9551002","37.5593178"
"257","2008","1115069","신정6동","67.91585400","67.51908700","126.8704306","37.5162508"
"285","2008","1122059","반포3동","85.00132000","86.12225600","127.0039808","37.5126405"
"202","2008","1119054","여의도동","831.76975300","862.38960700","126.9290731","37.5286662"
"255","2008","1115063","신월7동","54.57001800","55.35912100","126.8313103","37.5169283"
"265","2008","1116058","화곡3동","55.22110500","55.88059600","126.8351141","37.5439302"
"231","2008","1114069","망원1동","51.94273400","53.12479100","126.9007265","37.5521849"
"237","2008","1112066","신사2동","37.82957800","38.65547400","126.9067539","37.5933874"
"284","2008","1118059","시흥3동","50.56222200","50.52177400","126.9067393","37.4406086"
"297","2008","1121068","신사동","57.48952700","59.38960900","126.9197666","37.4857049"
"306","2008","1122062","방배1동","70.27549400","70.36856300","126.9959053","37.4850573"
"288","2008","1122056","반포본동","36.28590900","35.41612100","126.9873462","37.5063564"
"271","2008","1118051","가산동","547.70043600","571.65281700","126.8850721","37.4756389"
"169","2008","1111052","월계2동","44.65878200","46.49388000","127.0492857","37.6340924"
"170","2008","1111075","공릉1.3동","106.39577700","107.41457700","127.0730413","37.6235052"
"218","2008","1113064","홍제3동","53.86144900","55.38089700","126.9501653","37.5919852"
"221","2008","1115054","목4동","61.77357100","63.13554300","126.8680596","37.534826"
"222","2008","1112051","녹번동","205.45315600","204.03955300","126.9355246","37.604229"
"235","2008","1114070","망원2동","46.97567500","47.82006500","126.8956961","37.5567473"
"242","2008","1114076","서강동","95.35152200","114.08690900","126.9241341","37.5463129"
"249","2008","1113052","천연동","46.31692200","45.13357100","126.9583141","37.5719571"
"246","2008","1112072","불광2동","62.81610400","63.95652700","126.93026","37.62426"
"251","2008","1113069","남가좌1동","42.60973700","37.97186300","126.9158688","37.5715267"
"252","2008","1113066","홍은1동","50.69938000","51.39835100","126.9478902","37.5996284"
"254","2008","1113070","남가좌2동","67.11415200","68.94741700","126.9211579","37.5784557"
"253","2008","1113068","홍은2동","85.53715600","87.81945400","126.9321546","37.5868455"
"260","2008","1117068","오류2동","67.12732600","67.83126800","126.8346877","37.4845164"
"261","2008","1117069","수궁동","62.94089200","67.09743100","126.8253891","37.4987947"
"263","2008","1116055","화곡본동","66.75894500","68.44637800","126.8482094","37.5425489"
"247","2008","1112073","응암3동","65.34452000","67.69900900","126.9181343","37.5899933"
"266","2008","1116059","화곡4동","54.77688200","56.02274400","126.85813","37.5359072"
"256","2008","1115066","신정3동","103.37312500","108.34254400","126.841494","37.5112551"
"258","2008","1115070","신정7동","72.07245100","74.56167400","126.8647258","37.5108635"
"259","2008","1116053","등촌2동","45.60655400","46.62282200","126.8594214","37.5447925"
"262","2008","1116054","등촌3동","129.47443000","131.01979700","126.8467162","37.561938"
"264","2008","1116057","화곡2동","36.45719900","36.95789300","126.8548119","37.5326968"
"274","2008","1117061","고척1동","224.86527800","223.02101200","126.8634217","37.5004217"
"280","2008","1115061","신월5동","37.77622800","38.86663300","126.8299898","37.5412271"
"290","2008","1120066","사당4동","27.52968400","28.01456300","126.9705189","37.4807107"
"295","2008","1121071","난향동","13.51806500","14.02542400","126.9184886","37.4619525"
"300","2008","1123057","청담2동","144.19209600","148.08120000","127.0447144","37.5225393"
"203","2008","1113065","홍제2동","33.14623100","33.62857200","126.9528452","37.5840871"
"204","2008","1114060","대흥동","88.43780100","93.28087600","126.9402373","37.5509928"
"205","2008","1114075","도화동","92.23233600","93.69180100","126.9467895","37.5364118"
"207","2008","1115071","목5동","139.91618500","142.50256000","126.8794298","37.5372358"
"208","2008","1117056","구로5동","153.65328300","186.35973900","126.8874986","37.5023806"
"209","2008","1117064","개봉2동","67.56399400","68.44411100","126.8578627","37.4923447"
"240","2008","1114073","성산2동","119.28588400","121.57167900","126.9040014","37.5676793"
"241","2008","1114074","상암동","157.09765900","233.62207300","126.8802908","37.5727035"
"244","2008","1117065","개봉3동","46.03343500","46.74801300","126.8538852","37.4864119"
"245","2008","1118055","독산4동","50.69749400","51.49135100","126.9050332","37.4693262"
"282","2008","1120055","상도3동","51.24667900","52.72449300","126.9349944","37.4974897"
"283","2008","1120056","상도4동","53.35775300","54.07593300","126.9401218","37.4976735"
"293","2008","1119061","양평1동","96.52860700","100.37031700","126.8869945","37.5256603"
"294","2008","1121064","서원동","76.26330500","78.63360500","126.933137","37.4801353"
"296","2008","1122051","서초1동","241.62580100","251.42449300","127.020373","37.486444"
"298","2008","1122052","서초2동","255.99018300","291.97135100","127.0278351","37.4890881"
"299","2008","1122065","방배4동","97.36045200","100.15509300","126.9914563","37.4897993"
"315","2008","1119055","당산1동","112.51963400","113.15606300","126.8971277","37.5241327"
"320","2008","1119066","신길4동","26.51042600","26.82144700","126.9132072","37.5075102"
"286","2008","1119062","양평2동","185.88859600","185.37123600","126.8946775","37.5396988"
"268","2008","1117055","구로4동","69.20498300","70.42850000","126.8897517","37.4912957"
"269","2008","1117071","구로2동","195.21748600","202.93929500","126.8783718","37.4966945"
"270","2008","1117072","개봉1동","86.42784600","88.29635000","126.8509947","37.5006766"
"287","2008","1119076","문래동","225.25088100","240.66703100","126.8917569","37.515614"
"289","2008","1118060","시흥4동","38.89086200","39.81666000","126.9092028","37.4595548"
"291","2008","1119071","대림2동","53.12567300","56.34963800","126.9008809","37.4899172"
"292","2008","1118057","시흥1동","119.65495700","119.54226900","126.8996423","37.453328"
"267","2008","1117054","구로3동","306.77370900","328.65001600","126.8947943","37.4852754"
"248","2008","1112074","역촌동","93.38740800","93.68276500","126.9123116","37.6050675"
"250","2008","1113062","홍제1동","55.54867600","56.28132000","126.9449503","37.5799306"
"232","2008","1114077","공덕동","127.47127100","129.04992700","126.9573092","37.5497216"
"233","2008","1114078","아현동","98.79742000","93.90314600","126.9529527","37.550399"
"234","2008","1115052","목2동","58.05008900","60.60605900","126.8756178","37.5427256"
"236","2008","1112065","신사1동","53.72072400","54.38784400","126.9082676","37.5980617"
"238","2008","1112067","증산동","45.53630800","47.41698000","126.9057627","37.5827513"
"239","2008","1112068","수색동","46.79687800","46.98182800","126.89328","37.5865769"
"243","2008","1116052","등촌1동","97.62105500","100.65776000","126.859834","37.5560676"
"278","2008","1115058","신월2동","45.78545400","46.95172400","126.846252","37.5224464"
"279","2008","1115059","신월3동","38.91872800","40.66699100","126.8282326","37.532608"
"281","2008","1115062","신월6동","28.44268600","29.10547800","126.8417608","37.51656"
"302","2008","1123075","수서동","80.30285700","81.07579400","127.1015292","37.485455"
"303","2008","1117070","가리봉동","44.60397000","46.06364100","126.888207","37.4829137"
"305","2008","1121081","난곡동","51.52706400","50.93137300","126.920547","37.4703208"
"307","2008","1123054","압구정1동","130.65562100","133.60555800","127.0282296","37.5292279"
"308","2008","1123060","대치1동","83.87335500","88.57880300","127.0592099","37.4932837"
"313","2008","1116074","우장산동","82.14602600","96.32361100","126.8417017","37.5501009"
"314","2008","1117052","구로1동","327.13344200","329.38593300","126.8744434","37.4930275"
"316","2008","1120053","상도1동","75.69282800","78.05682600","126.9543551","37.4999435"
"317","2008","1120054","상도2동","65.81882600","72.62553000","126.9416175","37.5032617"
"318","2008","1119063","신길1동","52.14235600","55.55127800","126.9198885","37.5126299"
"325","2008","1120063","사당1동","69.06857300","71.53249600","126.9761499","37.4803836"
"326","2008","1119073","영등포본동","55.49313000","55.64138800","126.9083612","37.5134004"
"327","2008","1119074","영등포동","260.20371800","253.23150500","126.9092502","37.5236448"
"328","2008","1119075","도림동","49.20327200","49.99328900","126.9016479","37.5089421"
"329","2008","1120052","노량진2동","85.22692900","88.00779400","126.938553","37.5110955"
"319","2008","1119065","신길3동","44.94637000","44.97376800","126.9046472","37.5068694"
"272","2008","1118052","독산1동","243.05191000","245.08103800","126.8921307","37.4654438"
"273","2008","1118054","독산3동","85.44075100","89.54175300","126.9050746","37.4758607"
"304","2008","1121065","신원동","39.84782100","41.18247200","126.9267456","37.4791405"
"324","2008","1119072","대림3동","82.87550300","85.25000500","126.8985444","37.5000989"
"310","2008","1116067","발산1동","89.48043000","106.15510200","126.8258043","37.5502922"
"342","2008","1123056","청담1동","134.75249000","137.68493000","127.0545458","37.5265323"
"373","2008","1124068","문정1동","53.52508800","55.24311900","127.1273333","37.4878015"
"389","2008","1124077","잠실6동","172.24488900","178.32093000","127.0992827","37.5181588"
"400","2008","1124075","잠실4동","26.95313000","34.14838600","127.1072787","37.5217381"
"360","2008","1124069","문정2동","71.97715200","84.54381400","127.1176086","37.4789149"
"368","2008","1123055","압구정2동","149.62666800","152.09506600","127.0395405","37.5291774"
"339","2008","1118061","시흥5동","51.63918400","52.86305200","126.9120245","37.4489992"
"346","2008","1124057","방이1동","66.15488300","68.41555000","127.1223441","37.5099874"
"348","2008","1123073","일원1동","65.55836600","76.33174700","127.0907675","37.4930774"
"376","2008","1121079","성현동","73.32230600","73.59680900","126.950695","37.4898682"
"382","2008","1123071","개포4동","73.76525200","75.20020400","127.0532531","37.4766254"
"391","2008","1124053","거여1동","54.74935500","54.89850800","127.1421203","37.4946438"
"399","2008","1124056","마천2동","52.31619400","52.35010900","127.1516416","37.5004035"
"275","2008","1117062","고척2동","59.72983200","61.58903600","126.8545802","37.5050342"
"276","2008","1117067","오류1동","60.36010000","62.33887600","126.8424577","37.4969287"
"277","2008","1115053","목3동","53.60714400","55.22448100","126.8664483","37.5453236"
"301","2008","1123065","역삼2동","256.68798500","276.73362300","127.0449272","37.4984733"
"396","2008","1125055","고덕1동","34.25790900","35.51098500","127.1491472","37.5642144"
"350","2008","1121057","행운동","72.52496000","74.11149500","126.9616433","37.4808667"
"351","2008","1121058","낙성대동","71.39999700","77.27024300","126.9613809","37.4681431"
"352","2008","1121062","인헌동","55.67306900","57.28511400","126.9664361","37.4721949"
"354","2008","1121082","삼성동","52.90455900","53.37798800","126.930529","37.4614434"
"361","2008","1122061","방배본동","78.11323700","80.24111400","126.989064","37.4953519"
"362","2008","1122063","방배2동","494.54089000","498.36079000","126.9894127","37.4722936"
"363","2008","1122064","방배3동","81.32652500","82.63055800","126.9980078","37.474511"
"364","2008","1122066","양재1동","183.68044000","188.61428800","127.0236975","37.4704744"
"356","2008","1122053","서초3동","434.27955600","451.50020600","127.0097616","37.4856591"
"357","2008","1120071","흑석동","106.28475500","106.00331300","126.9646503","37.505401"
"358","2008","1120072","노량진1동","147.09640200","146.94525200","126.9504596","37.512746"
"365","2008","1122068","내곡동","85.12798700","83.00499100","127.069692","37.452285"
