기간	자치구	동	인구	면적	인구밀도
2019	용산구	이촌2동	9,005	1.22	7,381
2019	용산구	이태원1동	9,222	0.57	16,179
2019	용산구	이태원2동	10,811	0.86	12,571
2019	용산구	서빙고동	14,102	2.8	5,036
2019	용산구	보광동	15,862	0.71	22,341
2019	용산구	청파동	20,661	0.91	22,704
2019	용산구	원효로1동	16,630	0.59	28,186
2019	용산구	한강로동	19,635	2.9	6,771
2019	용산구	한남동	23,704	3.01	7,875
2019	성동구	소계	308,979	16.86	18,327
2019	성동구	왕십리2동	17,744	0.41	43,278
2019	성동구	마장동	24,035	1.05	22,890
2019	성동구	사근동	13,543	1.1	12,312
2019	성동구	행당1동	16,463	0.59	27,903
2019	성동구	행당2동	24,640	0.42	58,667
2019	성동구	응봉동	16,188	0.57	28,400
2019	성동구	금호1가동	15,954	0.46	34,683
2019	성동구	금호4가동	15,227	0.84	18,127
2019	성동구	성수1가1동	17,168	1.98	8,671
2019	성동구	성수1가2동	14,735	0.89	16,556
2019	성동구	성수2가1동	17,722	1.18	15,019
2019	성동구	성수2가3동	11,682	1.03	11,342
2019	성동구	송정동	11,428	0.75	15,237
2019	성동구	용답동	13,290	2.32	5,728
2019	성동구	왕십리도선동	27,767	0.72	38,565
2019	성동구	금호2.3가동	24,171	0.64	37,767
2019	성동구	옥수동	27,222	1.95	13,960
2019	광진구	소계	366,972	17.06	21,507
2019	광진구	화양동	25,537	1.16	22,015
2019	광진구	군자동	22,109	0.74	29,877
2019	광진구	중곡1동	16,287	0.62	26,269
2019	광진구	중곡2동	22,564	0.55	41,025
2019	광진구	중곡3동	17,315	0.6	28,858
2019	광진구	중곡4동	30,516	2.32	13,153
2019	광진구	능동	11,978	1.1	10,889
2019	광진구	구의1동	23,063	0.56	41,184
2019	광진구	구의2동	27,902	1.39	20,073
2019	광진구	구의3동	30,094	1.02	29,504
2019	광진구	광장동	36,083	2.39	15,097
2019	광진구	자양1동	24,156	0.57	42,379
2019	광진구	자양2동	26,893	1.68	16,008
2019	광진구	자양3동	29,475	1.2	24,563
2019	광진구	자양4동	23,000	1.16	19,828
2019	동대문구	소계	363,023	14.22	25,537
2019	동대문구	회기동	13,114	0.76	17,255
2019	동대문구	휘경1동	16,508	0.63	26,203
2019	동대문구	휘경2동	25,068	1.05	23,874
2019	동대문구	청량리동	21,808	1.2	18,173
2019	동대문구	용신동	32,144	1.61	19,965
2019	동대문구	제기동	27,364	1.18	23,190
2019	동대문구	전농1동	31,075	1.19	26,113
2019	동대문구	전농2동	19,990	0.86	23,244
2019	동대문구	답십리1동	29,783	0.81	36,769
2019	동대문구	답십리2동	30,486	0.85	35,866
2019	동대문구	장안1동	39,153	1.25	31,322
2019	동대문구	장안2동	33,045	1.09	30,317
2019	동대문구	이문1동	22,311	1.04	21,453
2019	동대문구	이문2동	21,174	0.69	30,687
2019	중랑구	소계	402,024	18.5	21,736
2019	중랑구	면목2동	25,942	0.73	35,537
2019	중랑구	면목4동	20,052	1.1	18,229
2019	중랑구	면목5동	9,825	0.64	15,352
2019	중랑구	면목7동	22,200	0.87	25,517
2019	중랑구	상봉1동	25,499	0.85	29,999
2019	중랑구	상봉2동	19,844	0.68	29,182
2019	중랑구	중화1동	20,916	0.68	30,759
2019	중랑구	중화2동	27,274	0.98	27,831
2019	중랑구	묵1동	36,016	1.2	30,013
2019	중랑구	묵2동	19,901	0.7	28,430
2019	중랑구	망우3동	17,941	0.99	18,122
2019	중랑구	신내1동	40,854	2.53	16,148
2019	중랑구	신내2동	21,905	0.99	22,126
2019	중랑구	면목본동	36,195	1.01	35,837
2019	중랑구	면목3.8동	26,589	1.67	15,922
2019	중랑구	망우본동	31,071	2.88	10,789
2019	성북구	소계	454,744	24.57	18,505
2019	성북구	돈암1동	15,921	0.49	32,492
2019	성북구	돈암2동	25,028	0.48	52,142
2019	성북구	안암동	17,502	1.33	13,159
2019	성북구	보문동	16,653	0.56	29,738
2019	성북구	정릉1동	19,455	0.44	44,216
2019	성북구	정릉2동	23,834	1.17	20,371
2019	성북구	정릉3동	17,233	3.71	4,645
2019	성북구	정릉4동	26,792	3.13	8,560
2019	성북구	길음1동	37,082	0.79	46,939
2019	성북구	길음2동	16,620	0.58	28,655
2019	성북구	월곡1동	27,523	0.81	33,979
2019	성북구	월곡2동	20,509	1.36	15,080
2019	성북구	장위1동	20,592	0.7	29,417
2019	성북구	장위2동	13,972	0.67	20,854
2019	성북구	장위3동	17,580	0.65	27,046
2019	성북구	성북동	17,584	2.86	6,148
2019	성북구	삼선동	26,013	0.92	28,275
2019	성북구	동선동	16,276	0.73	22,296
2019	성북구	종암동	42,068	1.46	28,814
2019	성북구	석관동	36,507	1.73	21,102
2019	강북구	소계	317,695	23.6	13,462
2019	강북구	번1동	19,614	0.66	29,718
2019	강북구	번2동	17,102	0.95	18,002
2019	강북구	번3동	18,251	1.1	16,592
2019	강북구	수유1동	21,841	1.67	13,078
2019	강북구	수유2동	21,939	0.57	38,489
2019	강북구	수유3동	24,064	0.72	33,422
2019	강북구	삼양동	25,537	0.91	28,063
2019	강북구	미아동	22,814	0.93	24,531
2019	강북구	송중동	31,153	1.01	30,845
2019	강북구	송천동	28,628	0.9	31,809
2019	강북구	삼각산동	32,900	0.62	53,065
2019	강북구	우이동	21,391	10.28	2,081
2019	강북구	인수동	32,461	3.28	9,897
2019	도봉구	소계	335,631	20.66	16,245
2019	도봉구	쌍문1동	22,364	1.24	18,035
2019	도봉구	쌍문2동	20,025	0.54	37,083
2019	도봉구	쌍문3동	17,262	0.5	34,524
2019	도봉구	쌍문4동	19,811	0.52	38,098
2019	도봉구	방학1동	30,056	0.69	43,559
2019	도봉구	방학2동	21,140	0.74	28,568
2019	도봉구	방학3동	28,782	2.64	10,902
2019	도봉구	창1동	26,271	0.88	29,853
2019	도봉구	창2동	30,498	1.07	28,503
2019	도봉구	창3동	14,777	0.67	22,055
2019	도봉구	창4동	27,873	0.96	29,034
2019	도봉구	창5동	25,802	0.7	36,860
2019	도봉구	도봉1동	22,293	8.72	2,557
2019	도봉구	도봉2동	28,677	0.83	34,551
2019	노원구	소계	537,303	35.44	15,162
2019	노원구	월계1동	23,883	1.16	20,589
2019	노원구	월계2동	27,289	1.94	14,066
2019	노원구	월계3동	31,593	1.17	27,003
2019	노원구	공릉2동	41,071	6.82	6,022
2019	노원구	하계1동	29,305	1.55	18,906
2019	노원구	하계2동	23,318	0.51	45,722
2019	노원구	중계본동	25,875	1.97	13,135
2019	노원구	중계1동	28,061	0.63	44,541
2019	노원구	중계4동	21,324	1.7	12,544
2019	노원구	상계1동	40,121	5.62	7,139
2019	노원구	상계2동	21,220	0.61	34,787
2019	노원구	상계5동	25,483	0.44	57,916
2019	노원구	상계8동	23,953	0.67	35,751
2019	노원구	상계9동	21,919	0.81	27,060
2019	노원구	상계10동	16,619	0.8	20,774
2019	노원구	상계3.4동	25,818	5.62	4,594
2019	노원구	상계6.7동	34,648	1.11	31,214
2019	노원구	중계2.3동	36,763	0.9	40,848
2019	노원구	공릉1동	39,040	1.41	27,688
2019	은평구	소계	484,546	29.71	16,308
2019	은평구	녹번동	38,411	1.79	21,459
2019	은평구	불광1동	40,917	3.13	13,073
2019	은평구	갈현1동	24,536	0.97	25,295
2019	은평구	갈현2동	30,150	0.96	31,406
2019	은평구	구산동	33,804	1.38	24,496
2019	은평구	대조동	27,910	0.85	32,835
2019	은평구	응암1동	25,654	1.2	21,378
2019	은평구	응암2동	25,466	0.78	32,649
2019	은평구	신사1동	28,570	0.84	34,012
2019	은평구	신사2동	21,875	1	21,875
2019	은평구	증산동	16,172	0.81	19,965
2019	은평구	수색동	8,952	1.29	6,940
2019	은평구	진관동	58,006	11.53	5,031
2019	은평구	불광2동	29,552	1.38	21,414
2019	은평구	응암3동	26,081	0.63	41,398
2019	은평구	역촌동	48,490	1.16	41,802
2019	서대문구	소계	323,171	17.63	18,335
2019	서대문구	천연동	18,704	0.97	19,282
2019	서대문구	홍제1동	24,997	1.23	20,323
2019	서대문구	홍제3동	16,420	0.81	20,272
2019	서대문구	홍제2동	14,570	1.05	13,876
2019	서대문구	홍은1동	22,902	1.58	14,495
2019	서대문구	홍은2동	28,394	2.06	13,783
2019	서대문구	남가좌1동	16,918	0.51	33,173
2019	서대문구	남가좌2동	25,947	0.77	33,697
2019	서대문구	북가좌1동	19,160	0.55	34,836
2019	서대문구	북가좌2동	33,810	0.84	40,250
2019	서대문구	충현동	18,113	1.12	16,172
2019	서대문구	북아현동	17,525	0.46	38,098
2019	서대문구	신촌동	24,372	2.63	9,267
2019	서대문구	연희동	41,339	3.05	13,554
2019	마포구	소계	385,925	23.85	16,180
2019	마포구	용강동	22,441	0.84	26,715
2019	마포구	대흥동	13,575	0.88	15,426
2019	마포구	염리동	13,486	0.43	31,363
2019	마포구	신수동	23,877	0.78	30,612
2019	마포구	서교동	25,997	1.65	15,756
2019	마포구	합정동	19,153	1.72	11,135
2019	마포구	망원1동	21,856	1.13	19,342
2019	마포구	망원2동	19,386	0.67	28,934
2019	마포구	연남동	16,953	0.64	26,489
2019	마포구	성산1동	20,164	0.8	25,205
2019	마포구	성산2동	41,531	2.07	20,063
2019	마포구	상암동	32,882	8.4	3,915
2019	마포구	도화동	22,594	0.62	36,442
2019	마포구	서강동	26,163	1.45	18,043
2019	마포구	공덕동	40,509	1.01	40,108
2019	마포구	아현동	25,358	0.76	33,366
2019	양천구	소계	462,285	17.41	26,559
2019	양천구	목1동	32,173	1.41	22,818
2019	양천구	목2동	31,477	1.03	30,560
2019	양천구	목3동	23,095	0.53	43,575
2019	양천구	목4동	26,909	0.57	47,209
2019	양천구	신월1동	21,773	0.65	33,497
2019	양천구	신월2동	22,126	0.61	36,272
2019	양천구	신월3동	16,719	0.87	19,217
2019	양천구	신월4동	19,026	0.52	36,588
2019	양천구	신월5동	15,570	0.69	22,565
2019	양천구	신월6동	6,615	0.41	16,134
2019	양천구	신월7동	21,602	1.19	18,153
2019	양천구	신정1동	21,627	0.7	30,896
2019	양천구	신정2동	20,685	0.52	39,779
2019	양천구	신정3동	48,151	2.72	17,703
2019	양천구	신정6동	25,304	0.96	26,358
2019	양천구	신정7동	30,904	1.21	25,540
2019	양천구	목5동	42,948	1.81	23,728
2019	양천구	신정4동	35,581	1.01	35,229
2019	강서구	소계	598,273	41.44	14,438
2019	강서구	염창동	42,579	1.74	24,471
2019	강서구	등촌1동	23,717	0.59	40,198
2019	강서구	등촌2동	21,868	0.92	23,770
2019	강서구	등촌3동	32,506	0.79	41,147
2019	강서구	화곡본동	35,918	1.11	32,359
2019	강서구	화곡2동	19,487	0.47	41,462
2019	강서구	화곡3동	22,710	0.51	44,529
2019	강서구	화곡4동	22,044	0.82	26,883
2019	강서구	화곡6동	25,118	1.12	22,427
2019	강서구	화곡8동	26,509	0.53	50,017
2019	강서구	가양1동	34,154	4.7	7,267
2019	강서구	가양2동	15,140	1	15,140
2019	강서구	가양3동	16,199	0.99	16,363
2019	강서구	발산1동	38,507	2.96	13,009
2019	강서구	공항동	28,261	10.87	2,600
2019	강서구	방화1동	45,668	1.04	43,912
2019	강서구	방화2동	24,051	6.41	3,752
2019	강서구	방화3동	24,467	2.38	10,280
2019	강서구	화곡1동	54,562	1.12	48,716
2019	강서구	우장산동	44,808	1.36	32,947
2019	구로구	소계	439,371	20.12	21,837
2019	구로구	신도림동	37,188	1.47	25,298
2019	구로구	구로1동	22,097	1.02	21,664
2019	구로구	구로3동	26,290	1.02	25,775
2019	구로구	구로4동	26,219	0.46	56,998
2019	구로구	구로5동	33,426	1.03	32,452
2019	구로구	고척1동	24,182	1.16	20,847
2019	구로구	고척2동	28,950	1.02	28,382
2019	구로구	개봉2동	33,036	0.8	41,295
2019	구로구	개봉3동	22,005	0.81	27,167
2019	구로구	오류1동	23,295	0.59	39,483
2019	구로구	오류2동	53,500	4.6	11,630
2019	구로구	수궁동	24,890	2.67	9,322
2019	구로구	가리봉동	15,250	0.4	38,125
2019	구로구	구로2동	35,208	1.76	20,005
2019	구로구	개봉1동	33,835	1.31	25,828
2019	금천구	소계	251,820	13.02	19,341
2019	금천구	가산동	24,455	2.52	9,704
2019	금천구	독산1동	43,840	2.09	20,976
2019	금천구	독산2동	21,405	0.6	35,675
2019	금천구	독산3동	29,916	0.92	32,517
2019	금천구	독산4동	18,227	0.59	30,893
2019	금천구	시흥1동	36,706	1.71	21,465
2019	금천구	시흥2동	22,659	1.26	17,983
2019	금천구	시흥3동	11,524	1.07	10,770
2019	금천구	시흥4동	22,216	0.87	25,536
2019	금천구	시흥5동	20,872	1.39	15,016
2019	영등포구	소계	400,986	24.55	16,334
2019	영등포구	여의동	34,598	8.4	4,119
2019	영등포구	당산1동	21,524	0.75	28,699
2019	영등포구	당산2동	36,324	1.55	23,435
2019	영등포구	양평1동	18,263	0.88	20,753
2019	영등포구	양평2동	22,802	3	7,601
2019	영등포구	신길1동	19,750	0.66	29,924
2019	영등포구	신길3동	18,727	0.52	36,013
2019	영등포구	신길4동	9,985	0.35	28,529
2019	영등포구	신길5동	10,670	0.47	22,702
2019	영등포구	신길6동	19,434	0.68	28,579
2019	영등포구	신길7동	17,075	0.64	26,680
2019	영등포구	대림1동	16,332	0.49	33,331
2019	영등포구	대림2동	21,370	0.55	38,855
2019	영등포구	대림3동	28,638	0.95	30,145
2019	영등포구	영등포본동	24,813	1.02	24,326
2019	영등포구	영등포동	27,166	1.26	21,560
2019	영등포구	도림동	21,552	0.89	24,216
2019	영등포구	문래동	31,963	1.49	21,452
2019	동작구	소계	408,912	16.35	25,003
2019	동작구	노량진2동	13,789	0.64	21,545
2019	동작구	상도1동	48,153	1.51	31,889
2019	동작구	상도2동	29,270	0.98	29,867
2019	동작구	상도3동	26,041	0.6	43,402
2019	동작구	상도4동	29,893	0.75	39,857
2019	동작구	사당1동	24,026	0.79	30,413
2019	동작구	사당3동	26,034	0.92	28,298
2019	동작구	사당4동	14,921	0.38	39,266
2019	동작구	사당5동	12,886	0.57	22,607
2019	동작구	대방동	40,177	1.55	25,921
2019	동작구	신대방1동	26,599	0.62	42,902
2019	동작구	신대방2동	20,719	1.03	20,116
2019	동작구	흑석동	35,551	1.68	21,161
2019	동작구	노량진1동	32,563	1.58	20,609
2019	동작구	사당2동	28,290	2.75	10,287
2019	관악구	소계	517,334	29.57	17,496
2019	관악구	보라매동	26,496	0.76	34,863
2019	관악구	청림동	16,286	0.3	54,287
2019	관악구	행운동	30,061	0.72	41,751
2019	관악구	낙성대동	17,623	2.27	7,763
2019	관악구	중앙동	15,895	0.39	40,756
2019	관악구	인헌동	27,088	1.08	25,081
2019	관악구	남현동	18,980	3.27	5,804
2019	관악구	서원동	24,068	0.65	37,028
2019	관악구	신원동	19,742	0.55	35,895
2019	관악구	서림동	24,339	0.99	24,585
2019	관악구	신사동	25,960	0.64	40,563
2019	관악구	신림동	22,525	0.54	41,713
2019	관악구	난향동	16,394	0.8	20,493
2019	관악구	조원동	19,579	0.67	29,222
2019	관악구	대학동	24,457	8.3	2,947
2019	관악구	은천동	35,337	0.78	45,304
2019	관악구	성현동	31,175	0.68	45,846
2019	관악구	청룡동	34,440	1.18	29,186
2019	관악구	난곡동	28,912	0.96	30,117
2019	관악구	삼성동	25,226	2.66	9,483
2019	관악구	미성동	32,751	1.38	23,733
2019	서초구	소계	435,107	46.98	9,261
2019	서초구	서초1동	21,579	1.42	15,196
2019	서초구	서초2동	18,837	1.24	15,191
2019	서초구	서초3동	30,951	2.93	10,563
2019	서초구	서초4동	31,988	0.88	36,350
2019	서초구	잠원동	35,131	1.76	19,961
2019	서초구	반포본동	12,190	1.01	12,069
2019	서초구	반포1동	33,237	1	33,237
2019	서초구	반포2동	16,385	1.35	12,137
2019	서초구	반포3동	20,390	1.28	15,930
2019	서초구	반포4동	20,232	1.43	14,148
2019	서초구	방배본동	21,585	0.67	32,216
2019	서초구	방배1동	17,524	0.7	25,034
2019	서초구	방배2동	20,958	1.93	10,859
2019	서초구	방배3동	22,455	2.4	9,356
2019	서초구	방배4동	24,083	0.98	24,574
2019	서초구	양재1동	45,940	5.76	7,976
2019	서초구	양재2동	23,161	7.58	3,056
2019	서초구	내곡동	18,481	12.68	1,457
2019	강남구	소계	550,209	39.5	13,929
2019	강남구	신사동	17,546	1.89	9,284
2019	강남구	논현1동	23,792	1.25	19,034
2019	강남구	논현2동	21,904	1.47	14,901
2019	강남구	삼성1동	14,920	1.94	7,691
2019	강남구	삼성2동	30,674	1.24	24,737
2019	강남구	대치1동	25,302	0.79	32,028
2019	강남구	대치4동	20,822	0.73	28,523
2019	강남구	역삼1동	37,002	2.35	15,746
2019	강남구	역삼2동	37,336	1.15	32,466
2019	강남구	도곡1동	22,626	1.02	22,182
2019	강남구	도곡2동	34,437	1.02	33,762
2019	강남구	개포1동	6,920	1.27	5,449
2019	강남구	개포4동	18,405	1.49	12,352
2019	강남구	일원본동	24,399	2.58	9,457
2019	강남구	일원1동	16,438	0.92	17,867
2019	강남구	일원2동	18,160	1.24	14,645
2019	강남구	수서동	15,934	1.43	11,143
2019	강남구	세곡동	45,064	6.36	7,086
2019	강남구	압구정동	27,712	2.53	10,953
2019	강남구	청담동	30,120	2.33	12,927
2019	강남구	대치2동	38,647	2	19,324
2019	강남구	개포2동	22,049	2.51	8,784
2019	송파구	소계	682,741	33.87	20,156
2019	송파구	풍납1동	15,518	0.77	20,153
2019	송파구	풍납2동	25,288	1.59	15,904
2019	송파구	거여1동	13,221	0.51	25,924
2019	송파구	거여2동	16,921	0.53	31,926
2019	송파구	마천1동	20,764	0.58	35,800
2019	송파구	마천2동	20,242	0.89	22,744
2019	송파구	방이1동	16,524	0.5	33,048
2019	송파구	방이2동	26,044	0.8	32,555
2019	송파구	오륜동	18,864	3.17	5,951
2019	송파구	오금동	41,067	1.65	24,889
2019	송파구	송파1동	26,026	0.79	32,944
2019	송파구	송파2동	20,862	0.53	39,362
2019	송파구	석촌동	34,309	0.95	36,115
2019	송파구	삼전동	32,613	0.95	34,329
2019	송파구	가락본동	27,876	1.13	24,669
2019	송파구	가락1동	27,716	1.34	20,684
2019	송파구	가락2동	33,920	0.96	35,333
2019	송파구	문정1동	21,301	0.56	38,038
2019	송파구	문정2동	29,967	2.2	13,621
2019	송파구	장지동	33,055	1.37	24,128
2019	송파구	위례동	28,296	2.55	11,096
2019	송파구	잠실본동	29,628	0.94	31,519
2019	송파구	잠실4동	22,240	1.56	14,256
2019	송파구	잠실6동	17,441	2.79	6,251
2019	송파구	잠실7동	10,191	0.6	16,985
2019	송파구	잠실2동	36,809	2.18	16,885
2019	송파구	잠실3동	36,038	1.49	24,187
2019	강동구	소계	440,390	24.59	17,909
2019	강동구	강일동	32,127	2.8	11,474
2019	강동구	상일동	10,773	2.65	4,065
2019	강동구	명일1동	26,758	0.61	43,866
2019	강동구	명일2동	17,778	0.97	18,328
2019	강동구	고덕1동	27,079	1.73	15,653
2019	강동구	고덕2동	19,345	2.01	9,624
2019	강동구	암사2동	14,774	1.18	12,520
2019	강동구	암사3동	18,693	2.51	7,447
2019	강동구	천호1동	28,400	0.71	40,000
2019	강동구	천호3동	27,996	0.79	35,438
2019	강동구	성내1동	20,561	0.58	35,450
2019	강동구	성내2동	25,186	0.67	37,591
2019	강동구	성내3동	23,921	0.71	33,692
2019	강동구	둔촌1동	283	0.92	308
2019	강동구	둔촌2동	27,752	0.98	28,318
2019	강동구	암사1동	36,693	1.02	35,974
2019	강동구	천호2동	35,904	1.57	22,869
2019	강동구	길동	46,367	2.17	21,367
