,발생년,발생년월일시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
476,2019,2019-02-27 15,주,수,1,2,0,2,0,서울,송파구,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,이륜차,승용차,968450.0,1942527.0,127.1431484,37.48143985
487,2019,2019-03-01 00,야,금,1,0,0,0,0,서울,영등포구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,945654.0,1950281.0,126.8847476,37.55026757
496,2019,2019-03-03 01,야,일,1,0,0,0,0,서울,종로구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,이륜차,955187.0,1953276.0,126.9924835,37.57777517
509,2019,2019-03-04 23,야,월,1,0,0,0,0,서울,광진구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,화물차,보행자,961464.0,1949282.0,127.0637797,37.54206021
527,2019,2019-03-06 18,야,수,1,0,0,0,0,서울,관악구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,950651.0,1942653.0,126.9418285,37.481796
556,2019,2019-03-09 06,주,토,1,0,0,0,0,서울,용산구,차대사람,횡단중,횡단중,과속,단일로,지하차도(도로)내,승용차,보행자,953420.0,1948464.0,126.9727783,37.53431593
561,2019,2019-03-10 00,야,일,1,0,0,0,0,서울,동작구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,951882.0,1944172.6,126.955652,37.49555753
577,2019,2019-03-12 21,야,화,1,1,0,0,1,서울,은평구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,이륜차,승합차,948807.0,1958371.0,126.9198754,37.62336391
588,2019,2019-03-13 19,야,수,1,0,0,0,0,서울,성동구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,958555.0,1951579.0,127.0307216,37.56263749
593,2019,2019-03-14 03,야,목,1,0,0,0,0,서울,금천구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,945367.0,1943057.0,126.8820358,37.48513987
594,2019,2019-03-14 05,야,목,1,0,0,0,0,서울,서대문구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,949527.0,1953237.0,126.9283883,37.57713067
603,2019,2019-03-15 01,야,금,1,0,0,0,0,서울,강서구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승합차,보행자,943718.2,1951051.1,126.8627745,37.55709228
606,2019,2019-03-15 06,주,금,1,0,0,0,0,서울,중랑구,차대차,기타,기타,중앙선 침범,단일로,기타단일로,기타,승용차,962291.2,1954883.2,127.0728551,37.5925798
628,2019,2019-03-18 05,야,월,1,0,0,0,0,서울,노원구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,962416.0,1962513.0,127.0738763,37.66135399
642,2019,2019-03-19 22,야,화,1,0,0,0,0,서울,관악구,차대사람,기타,기타,안전운전 의무 불이행,기타,기타,승용차,보행자,952162.0,1941717.0,126.9589791,37.47343905
647,2019,2019-03-20 09,주,수,1,0,0,0,0,서울,중랑구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,건설기계,보행자,963688.0,1953557.0,127.0887426,37.58068256
648,2019,2019-03-20 13,주,수,1,0,0,0,0,서울,강서구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,943258.0,1948345.0,126.8577736,37.53267389
650,2019,2019-03-21 03,야,목,1,2,0,0,2,서울,강남구,차대차,기타,기타,과속,단일로,기타단일로,화물차,승합차,960453.0,1947768.0,127.0524173,37.52837119
669,2019,2019-03-23 08,주,토,1,1,0,0,1,서울,강북구,차대차,추돌,추돌,안전운전 의무 불이행,교차로,교차로내,이륜차,화물차,957069.0,1961328.0,127.0133241,37.65043889
683,2019,2019-03-25 22,야,월,1,0,0,0,0,서울,동대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,960482.0,1952060.0,127.0525143,37.5670576
689,2019,2019-03-26 19,야,화,1,1,0,1,0,서울,종로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,이륜차,보행자,956930.4,1952620.8,127.0122657,37.57195294
695,2019,2019-03-27 15,주,수,1,0,0,0,0,서울,강남구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,958006.0,1947460.0,127.0247412,37.52548689
732,2019,2019-03-31 21,야,일,1,0,0,0,0,서울,용산구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,955310.0,1947062.0,126.9942551,37.52177289
738,2019,2019-04-01 13,주,월,1,2,1,1,0,서울,중구,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,승용차,승합차,953456.0,1950944.0,126.9730284,37.55667052
742,2019,2019-04-01 16,주,월,1,0,0,0,0,서울,양천구,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,자전거,보행자,943060.0,1946808.0,126.8556519,37.51880861
794,2019,2019-04-07 02,야,일,1,0,0,0,0,서울,성북구,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,957974.0,1956496.0,127.023861,37.60692919
795,2019,2019-04-07 03,야,일,1,0,0,0,0,서울,강서구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,942301.0,1948231.0,126.8469516,37.531587
796,2019,2019-04-07 04,야,일,1,0,0,0,0,서울,양천구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,943307.0,1947948.0,126.8583589,37.52909872
802,2019,2019-04-07 20,야,일,1,0,0,0,0,서울,양천구,차대차,측면충돌,측면충돌,신호위반,단일로,기타단일로,승합차,이륜차,940154.0,1949090.0,126.8225829,37.53919228
814,2019,2019-04-09 01,야,화,1,0,0,0,0,서울,동작구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,950187.2,1945038.2,126.9364213,37.50326948
821,2019,2019-04-09 12,주,화,1,0,0,0,0,서울,관악구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,화물차,이륜차,948730.0,1943290.0,126.9200573,37.48743278
844,2019,2019-04-11 21,야,목,1,0,0,0,0,서울,서대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,950612.0,1955197.0,126.9405433,37.59485522
852,2019,2019-04-12 18,야,금,1,0,0,0,0,서울,강서구,차대차,측면충돌,측면충돌,안전거리 미확보,단일로,기타단일로,화물차,이륜차,942351.0,1950198.0,126.8473629,37.54931874
865,2019,2019-04-14 00,야,일,1,0,0,0,0,서울,강북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,이륜차,보행자,958539.0,1960370.0,127.0300422,37.64187187
928,2019,2019-04-20 01,야,토,1,0,0,0,0,서울,성동구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,961379.0,1949340.0,127.0628145,37.54257943
936,2019,2019-04-21 03,야,일,1,5,1,4,0,서울,영등포구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승합차,없음,948495.0,1946726.0,126.9171585,37.51838904
952,2019,2019-04-24 01,야,수,1,0,0,0,0,서울,중랑구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,964253.0,1955542.0,127.0950446,37.59859609
1018,2019,2019-05-01 13,주,수,1,0,0,0,0,서울,성동구,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,승용차,보행자,960015.0,1951910.0,127.0472345,37.56568544
1029,2019,2019-05-02 14,주,목,1,0,0,0,0,서울,서대문구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,이륜차,950621.0,1954779.0,126.9406734,37.59108823
1037,2019,2019-05-03 02,야,금,1,0,0,0,0,서울,광진구,차대사람,기타,기타,안전운전 의무 불이행,단일로,교량위,승용차,보행자,962010.0,1948874.0,127.0699813,37.53840544
1047,2019,2019-05-04 01,야,토,1,2,0,2,0,서울,양천구,차대차,추돌,추돌,과속,교차로,교차로부근,승용차,화물차,941066.0,1946411.0,126.8331205,37.51510519
1063,2019,2019-05-05 15,주,일,1,0,0,0,0,서울,강동구,차대차,추돌,추돌,기타,교차로,교차로내,승용차,자전거,967257.0,1948982.0,127.1293674,37.53958022
1072,2019,2019-05-06 01,야,월,1,0,0,0,0,서울,강서구,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,보행자,938879.0,1951303.0,126.8079673,37.55905423
1073,2019,2019-05-06 02,야,월,1,0,0,0,0,서울,강서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,941665.0,1949326.0,126.8396666,37.54141622
1081,2019,2019-05-07 06,주,화,1,0,0,0,0,서울,성동구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,보행자,959699.5,1949955.5,127.0437695,37.54805521
1084,2019,2019-05-07 09,주,화,1,3,1,2,0,서울,마포구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,946655.0,1952092.0,126.8959476,37.56664875
1085,2019,2019-05-07 09,주,화,1,0,0,0,0,서울,강서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,940275.0,1951398.0,126.8237645,37.56000204
1089,2019,2019-05-07 12,주,화,1,0,0,0,0,서울,종로구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,자전거,화물차,953021.0,1952966.0,126.967974,37.57487308
1090,2019,2019-05-07 12,주,화,1,0,0,0,0,서울,마포구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,건설기계,보행자,950722.0,1949798.0,126.9421524,37.54619923
1094,2019,2019-05-07 15,주,화,1,0,0,0,0,서울,성동구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,원동기장치자전거,승용차,959719.3,1950347.7,127.0439721,37.55159109
1097,2019,2019-05-07 17,주,화,1,0,0,0,0,서울,강서구,차대사람,차도통행중,차도통행중,기타,단일로,기타단일로,승용차,보행자,939355.0,1951025.0,126.8133794,37.5565801
1110,2019,2019-05-09 15,주,목,1,0,0,0,0,서울,은평구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,948463.0,1954021.0,126.9162838,37.58413796
1122,2019,2019-05-11 00,야,토,1,0,0,0,0,서울,서초구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,956591.0,1942817.0,127.0090019,37.48357248
1155,2019,2019-05-14 01,야,화,1,0,0,0,0,서울,송파구,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,원동기장치자전거,승용차,965899.0,1943616.0,127.114245,37.49116487
1157,2019,2019-05-14 13,주,화,1,2,0,2,0,서울,송파구,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,이륜차,승용차,965236.0,1946318.0,127.1066174,37.51549448
1159,2019,2019-05-14 16,주,화,1,0,0,0,0,서울,강서구,차대차,측면충돌,측면충돌,신호위반,단일로,기타단일로,승합차,자전거,941566.6,1948867.2,126.8385894,37.53727482
1179,2019,2019-05-16 11,주,목,1,2,0,2,0,서울,송파구,차대차,추돌,추돌,안전운전 의무 불이행,교차로,교차로부근,승용차,화물차,964435.0,1946416.0,127.0975489,37.51634726
1209,2019,2019-05-20 07,주,월,1,0,0,0,0,서울,성북구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로횡단보도내,승합차,보행자,960894.0,1956911.0,127.0569204,37.61079852
1251,2019,2019-05-24 22,야,금,1,0,0,0,0,서울,노원구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승합차,보행자,960514.0,1959666.0,127.0524662,37.63561364
1255,2019,2019-05-25 01,야,토,1,0,0,0,0,서울,서초구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,승용차,956812.0,1945542.0,127.0113416,37.50814421
1282,2019,2019-05-28 04,야,화,1,1,1,0,0,서울,중랑구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,화물차,966115.0,1956942.0,127.1160727,37.6112852
1321,2019,2019-06-01 23,야,토,1,0,0,0,0,서울,강남구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,959677.0,1948034.0,127.0436204,37.53073513
1332,2019,2019-06-03 08,주,월,1,0,0,0,0,서울,구로구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,이륜차,946450.0,1944063.0,126.894212,37.49427056
1354,2019,2019-06-05 18,야,수,1,2,1,1,0,서울,영등포구,차대차,측면충돌,측면충돌,과속,단일로,기타단일로,이륜차,승용차,946530.0,1949314.0,126.8947348,37.54160317
1360,2019,2019-06-05 21,야,수,1,0,0,0,0,서울,양천구,차대사람,차도통행중,차도통행중,보행자 보호의무 위반,교차로,교차로내,승합차,보행자,943355.0,1946352.0,126.8590252,37.51471681
1363,2019,2019-06-06 00,야,목,1,0,0,0,0,서울,강동구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,967904.0,1949038.0,127.1366885,37.54010773
1374,2019,2019-06-07 05,야,금,1,0,0,0,0,서울,성북구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,보행자,956632.0,1957000.0,127.0086272,37.61140951
1401,2019,2019-06-09 18,야,일,1,0,0,0,0,서울,강서구,차대차,기타,기타,신호위반,교차로,교차로내,이륜차,승합차,940525.0,1951378.5,126.8265966,37.55984247
1408,2019,2019-06-10 20,야,월,1,1,0,0,1,서울,동대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,이륜차,보행자,959254.0,1953675.0,127.0385195,37.58156049
1416,2019,2019-06-12 08,주,수,1,0,0,0,0,서울,서대문구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로부근,건설기계,보행자,950701.0,1954865.0,126.9415738,37.59186764
1432,2019,2019-06-14 10,주,금,1,0,0,0,0,서울,성동구,차대사람,보도통행중,보도통행중,신호위반,교차로,교차로횡단보도내,이륜차,보행자,957942.0,1951153.0,127.0238053,37.55877005
1440,2019,2019-06-14 22,야,금,1,0,0,0,0,서울,구로구,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승용차,보행자,943267.0,1945810.0,126.8580713,37.50982631
1442,2019,2019-06-15 06,주,토,1,0,0,0,0,서울,동대문구,차대차,기타,기타,신호위반,교차로,교차로내,이륜차,승용차,959236.0,1953298.0,127.0383366,37.5781617
1457,2019,2019-06-17 16,주,월,1,0,0,0,0,서울,중랑구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,자전거,보행자,963961.0,1953558.0,127.0918344,37.5807023
1463,2019,2019-06-17 23,야,월,1,0,0,0,0,서울,종로구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,승합차,955970.0,1952509.0,127.001397,37.57089982
1478,2019,2019-06-19 05,야,수,1,0,0,0,0,서울,동대문구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근,이륜차,없음,959731.0,1952641.0,127.0439786,37.57226177
1501,2019,2019-06-21 15,주,금,1,0,0,0,0,서울,서초구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,보행자,954582.0,1941952.0,126.9863324,37.47567933
1532,2019,2019-06-25 00,야,화,1,0,0,0,0,서울,강북구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,자전거,승용차,958316.0,1959613.0,127.0275578,37.63503883
1548,2019,2019-06-26 22,야,수,1,0,0,0,0,서울,동대문구,차대사람,기타,기타,과속,단일로,기타단일로,승용차,보행자,958110.0,1952912.0,127.0256069,37.57463202
1551,2019,2019-06-27 04,야,목,1,0,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,947538.0,1946496.0,126.9063458,37.51626208
1574,2019,2019-06-30 03,야,일,1,0,0,0,0,서울,중랑구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,964415.0,1954525.0,127.0969292,37.58943584
1606,2019,2019-07-05 21,야,금,1,0,0,0,0,서울,광진구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,963085.0,1950840.0,127.0820503,37.55616937
1631,2019,2019-07-09 02,야,화,1,0,0,0,0,서울,강동구,차대사람,횡단중,횡단중,과속,교차로,교차로내,승용차,보행자,967148.0,1947238.0,127.1282117,37.52385693
1659,2019,2019-07-13 07,주,토,1,0,0,0,0,서울,중랑구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근,이륜차,없음,964097.0,1953602.0,127.0933725,37.58110421
1701,2019,2019-07-19 16,주,금,1,0,0,0,0,서울,송파구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,965129.0,1945375.0,127.1054514,37.50699077
1704,2019,2019-07-20 05,야,토,1,7,5,2,0,서울,영등포구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,없음,947270.0,1948632.0,126.9031599,37.53549886
1711,2019,2019-07-22 04,야,월,1,0,0,0,0,서울,노원구,차대사람,차도통행중,차도통행중,과속,단일로,기타단일로,승용차,보행자,962829.4,1957778.0,127.0788043,37.61869329
1736,2019,2019-07-24 09,주,수,1,1,0,1,0,서울,동대문구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,교량위,이륜차,승용차,962157.0,1955875.0,127.0712837,37.60151365
1759,2019,2019-07-26 22,야,금,1,3,2,1,0,서울,서초구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,957366.0,1944061.0,127.0176956,37.49482121
1760,2019,2019-07-26 22,야,금,1,0,0,0,0,서울,노원구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승합차,보행자,961247.0,1961765.0,127.0606623,37.65456353
1763,2019,2019-07-27 04,야,토,1,0,0,0,0,서울,강동구,차대사람,횡단중,횡단중,과속,교차로,교차로내,승용차,보행자,969055.0,1948108.0,127.1497563,37.5317646
1769,2019,2019-07-29 03,야,월,1,0,0,0,0,서울,용산구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,951118.0,1948476.0,126.9467231,37.53430489
1776,2019,2019-07-29 15,주,월,1,0,0,0,0,서울,서초구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,지하차도(도로)내,건설기계,보행자,954244.0,1942048.0,126.9825039,37.47652793
1782,2019,2019-07-29 22,야,월,1,0,0,0,0,서울,마포구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,947429.0,1950937.0,126.9047944,37.55628316
1787,2019,2019-07-30 07,주,화,1,0,0,0,0,서울,용산구,차대차,측면충돌,측면충돌,안전거리 미확보,단일로,기타단일로,이륜차,화물차,952156.0,1948303.0,126.9584826,37.53280006
1796,2019,2019-07-30 19,야,화,1,0,0,0,0,서울,서대문구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,자전거,화물차,951002.0,1954861.0,126.9449834,37.59184767
1814,2019,2019-08-01 15,주,목,1,0,0,0,0,서울,금천구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,자전거,승용차,946591.0,1941158.0,126.8960178,37.4680954
1823,2019,2019-08-03 00,야,토,1,1,0,1,0,서울,용산구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,953271.0,1948256.0,126.9711051,37.53243363
1852,2019,2019-08-06 14,주,화,1,0,0,0,0,서울,용산구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,952014.0,1948720.0,126.9568482,37.53655119
