,과속방지턱관리번호,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로유형구분,규격여부,위도,경도,보차분리여부,연속형여부,과속방지턱설치년도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
806,77,서울특별시,노원구,공릉로55길,,서울 노원구 공릉동 481-6,청솔아파트708동,1,1,0.05,3.6,7.5,1,Y,37.37537973,127.4189377,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
821,78,서울특별시,노원구,공릉로55길,,서울 노원구 공릉동 481-6,청솔아파트708동,1,1,0.05,3.7,7.6,1,Y,37.37541813,127.4203437,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
822,79,서울특별시,노원구,공릉로58길,,서울 노원구 하계동 143-5,하계1치안센터,1,1,0.06,3.7,5.6,2,Y,37.38000469,127.4213292,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
823,80,서울특별시,노원구,공릉로58길,,서울 노원구 하계동 153-4,서울정민학교,1,1,0.09,3.6,5.2,2,Y,37.38028197,127.4213263,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
824,81,서울특별시,노원구,공릉로58길,,서울 노원구 하계동 153-4,광은테크,1,1,0.1,3.7,7.3,2,Y,37.38037298,127.4199585,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
825,82,서울특별시,노원구,공릉로58길,,서울 노원구 하계동 153-4,서울연촌초등학교,1,1,0.1,3.7,5.8,2,Y,37.38051133,127.4190055,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
834,82000278,서울특별시,강동구,풍성로53길,서울특별시 강동구 풍성로53길 14,서울특별시 강동구 성내동 411-2,서울특별시 강동구 풍성로53길 14 (성내동),1,1,10.0,360.0,250,2,Y,37.5301443,127.1342686,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
835,82000279,서울특별시,강동구,풍성로53길,서울특별시 강동구 풍성로53길 13,서울특별시 강동구 성내동 410-7,서울특별시 강동구 풍성로53길 13 (성내동),1,1,10.0,360.0,300,2,Y,37.5301904,127.1340429,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
836,82000280,서울특별시,강동구,풍성로53길,서울특별시 강동구 풍성로53길 11,서울특별시 강동구 성내동 410-22,서울특별시 강동구 풍성로53길 11 (성내동),1,1,10.0,360.0,310,2,Y,37.5300368,127.1339848,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
837,82000281,서울특별시,강동구,풍성로53길,서울특별시 강동구 풍성로 203,서울특별시 강동구 성내동 412,"서울특별시 강동구 풍성로 203 (성내동, 둔촌역아치스톤)",1,1,10.0,360.0,360,2,Y,37.5297424,127.1346365,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
838,82000282,서울특별시,강동구,풍성로57길,서울특별시 강동구 풍성로57길 16-1,서울특별시 강동구 성내동 415-2,"서울특별시 강동구 풍성로57길 16-1 (성내동, 트윈빌 A)",1,1,10.0,360.0,520,2,Y,37.5297692,127.1364464,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
839,82000283,서울특별시,강동구,양재대로91길,서울특별시 강동구 양재대로91길 78,서울특별시 강동구 성내동 420-6,서울특별시 강동구 양재대로91길 78 (성내동),1,1,10.0,360.0,660,1,Y,37.5288953,127.1319196,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
840,82000428,서울특별시,강동구,아리수로,서울특별시 강동구 아리수로 374,서울특별시 강동구 고덕동 1565-6,서울특별시 강동구 아리수로 374,1,1,10.0,380.0,480,2,Y,37.5619507,127.1696856,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
841,82000429,서울특별시,강동구,아리수로,서울특별시 강동구 아리수로 374,서울특별시 강동구 고덕동 1565-6,서울특별시 강동구 아리수로 374,1,1,10.0,370.0,550,2,Y,37.5619507,127.1696856,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
842,82000430,서울특별시,강동구,동남로82길,서울특별시 강동구 동남로82길 94,서울특별시 강동구 고덕동 223,서울특별시 강동구 동남로82길 94,1,1,10.0,380.0,480,2,Y,37.5601307,127.1610289,N,N,2011,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
843,82000431,서울특별시,강동구,아리수로82길,서울특별시 강동구 아리수로82길 42,서울특별시 강동구 고덕동 158,서울특별시 강동구 아리수로82길 42,1,1,10.0,360.0,500,2,Y,37.5610786,127.1663766,N,Y,2011,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
844,82000432,서울특별시,강동구,아리수로82길,서울특별시 강동구 아리수로82길 42,서울특별시 강동구 고덕동 158,서울특별시 강동구 아리수로82길 42,1,1,10.0,360.0,600,1,Y,37.5610786,127.1663766,N,Y,2011,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
845,82000433,서울특별시,강동구,아리수로82길,서울특별시 강동구 아리수로82길 42,서울특별시 강동구 고덕동 158,서울특별시 강동구 아리수로82길 42,1,1,10.0,360.0,600,1,Y,37.5610786,127.1663766,N,Y,2011,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
846,82000434,서울특별시,강동구,아리수로82길,서울특별시 강동구 아리수로82길 42,서울특별시 강동구 고덕동 158,서울특별시 강동구 아리수로82길 42,1,1,10.0,360.0,600,1,Y,37.5610786,127.1663766,N,Y,2011,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
847,82000435,서울특별시,강동구,아리수로87길,서울특별시 강동구 아리수로87길 272,서울특별시 강동구 고덕동 85,서울특별시 강동구 아리수로87길 272,1,1,10.0,360.0,600,1,Y,37.5698696,127.1605744,N,Y,2014,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
848,82000436,서울특별시,강동구,아리수로87길,서울특별시 강동구 아리수로87길 272,서울특별시 강동구 고덕동 85,서울특별시 강동구 아리수로87길 272,1,1,10.0,360.0,600,1,Y,37.5698696,127.1605744,N,Y,2014,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
849,82000437,서울특별시,강동구,아리수로87길,서울특별시 강동구 아리수로87길 272,서울특별시 강동구 고덕동 85,서울특별시 강동구 아리수로87길 272,1,1,10.0,360.0,430,2,Y,37.5698696,127.1605744,N,Y,2014,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
850,82000438,서울특별시,강동구,아리수로87길,서울특별시 강동구 아리수로87길 272,서울특별시 강동구 고덕동 85,서울특별시 강동구 아리수로87길 272,1,1,10.0,360.0,745,1,Y,37.5698696,127.1605744,N,Y,2014,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
851,82000439,서울특별시,강동구,아리수로87길,서울특별시 강동구 아리수로87길 272,서울특별시 강동구 고덕동 85,서울특별시 강동구 아리수로87길 272,1,1,10.0,360.0,1060,1,Y,37.5698696,127.1605744,N,Y,2014,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
852,82000440,서울특별시,강동구,아리수로76길,서울특별시 강동구 아리수로76길 37,서울특별시 강동구 고덕동 254-1,서울특별시 강동구 아리수로76길 37,1,3,0.0,360.0,680,1,Y,37.5608785,127.1625531,N,Y,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
853,82000441,서울특별시,강동구,아리수로76길,서울특별시 강동구 아리수로76길 43,서울특별시 강동구 고덕동 255,서울특별시 강동구 아리수로76길 43,1,3,0.0,380.0,670,1,Y,37.5606771,127.1624739,N,Y,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
854,82000442,서울특별시,강동구,동남로82길,서울특별시 강동구 동남로82길 19,서울특별시 강동구 고덕동 294-1,서울특별시 강동구 동남로82길 19,1,3,0.0,370.0,350,2,Y,37.5606298,127.157991,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
855,82000443,서울특별시,강동구,아리수로,서울특별시 강동구 아리수로 294,서울특별시 강동구 고덕동 282-6,서울특별시 강동구 아리수로 294,1,3,0.0,360.0,570,2,Y,37.5626831,127.1607354,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
856,92,서울특별시,노원구,공릉로58마길,,서울 노원구 하계동 65-47,성우프리티빌,1,1,0.08,3.8,6,2,Y,37.3811556,127.4372803,N,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
857,82000444,서울특별시,강동구,아리수로,서울특별시 강동구 아리수로 322-1,서울특별시 강동구 고덕동 233-11,서울특별시 강동구 아리수로 322-1,1,3,0.0,380.0,460,2,Y,37.5624361,127.1640252,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
858,82000445,서울특별시,강동구,아리수로82길,서울특별시 강동구 아리수로82길 42,서울특별시 강동구 고덕동 158,서울특별시 강동구 아리수로82길 42,1,3,0.0,380.0,520,2,Y,37.5610786,127.1663766,N,Y,2013,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
859,82000446,서울특별시,강동구,양재대로,서울특별시 강동구 양재대로 1564,서울특별시 강동구 명일동 353-4,서울특별시 강동구 양재대로 1564,1,3,10.0,360.0,630,1,Y,37.5450648,127.1430417,N,Y,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
860,82000447,서울특별시,강동구,양재대로,서울특별시 강동구 양재대로 1566,서울특별시 강동구 명일동 353-3,서울특별시 강동구 양재대로 1566,1,1,10.0,200.0,700,1,Y,37.5451784,127.1431785,N,Y,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
861,82000448,서울특별시,강동구,천중로49길,"서울특별시 강동구 천중로49길 91 (명일동, 태천해오름아파트)",서울특별시 강동구 명일동 352-18,"서울특별시 강동구 천중로49길 91 (명일동, 태천해오름아파트)",1,1,10.0,390.0,460,2,Y,37.5449673,127.1440081,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
862,82000449,서울특별시,강동구,천중로51길,서울특별시 강동구 천중로51길 87,서울특별시 강동구 명일동 351-29,서울특별시 강동구 천중로51길 87,1,1,10.0,490.0,680,1,Y,37.5446715,127.1450922,N,Y,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
863,82000450,서울특별시,강동구,천중로51길,서울특별시 강동구 천중로51길 102,서울특별시 강동구 명일동 349-1,서울특별시 강동구 천중로51길 102,1,1,10.0,380.0,450,2,Y,37.5453498,127.1451976,N,Y,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
864,2020-3000000-06-0084,서울특별시,종로구,평창동 247-6 일원,서울특별시 종로구 평창동 247-6 일원,,도로,1,01,10.0,360.0,5,01,Y,37.60360203,126.9672916,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,3000000.0,서울특별시 종로구
865,2020-3000000-06-0084,서울특별시,종로구,혜화로63 서울과학고 일원,서울특별시 종로구 혜화로63 서울과학고 일원,,도로,1,01,10.0,360.0,8.6,01,Y,37.59190538,126.9973312,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,3000000.0,서울특별시 종로구
866,2020-3000000-06-0084,서울특별시,종로구,성균관로 17길5,서울특별시 종로구 성균관로 17길5,,도로,1,01,10.0,360.0,5,01,Y,37.59006217,126.9981443,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,3000000.0,서울특별시 종로구
867,2020-3000000-06-0084,서울특별시,종로구,명륜3가 53-52,서울특별시 종로구 명륜3가 53-52,,도로,1,01,10.0,360.0,6,01,Y,37.58933375,126.9892571,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,3000000.0,서울특별시 종로구
868,2020-3000000-06-0084,서울특별시,종로구,성균관로 13-1,서울특별시 종로구 성균관로 13-1,,도로,1,03,10.0,360.0,5.5,01,Y,37.58400639,126.9976349,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,3000000.0,서울특별시 종로구
869,2020-3000000-06-0084,서울특별시,종로구,세검정로 240,서울특별시 종로구 세검정로 240,,도로,1,03,10.0,360.0,4,01,Y,37.60065675,126.959214,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,3000000.0,서울특별시 종로구
870,2020-3000000-06-0084,서울특별시,종로구,경교장길 8,서울특별시 종로구 경교장길 8,,도로,1,03,10.0,360.0,4.5,01,Y,37.56741593,126.9663051,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,3000000.0,서울특별시 종로구
871,2020-3000000-06-0083,서울특별시,종로구,세종로 32-2(대한민국역사박물관 옆),서울특별시 종로구 세종로 32-2(대한민국역사박물관 옆),,도로,1,03,10.0,360.0,3,01,Y,37.57442557,126.9781221,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,3000000.0,서울특별시 종로구
