,무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
417,37,서울특별시,강북구,일반국도,3번,솔샘로,3.0,서울특별시 강북구 솔샘로 331,,37.61739162,127.0291006,조이마트,4,0,,,99.0,2018.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
418,38,서울특별시,강북구,일반국도,3번,삼양로,3.0,서울특별시 강북구 삼양로77길 95,,37.6277126,127.0130457,삼흥연립,4,0,,,99.0,2018.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
419,39,서울특별시,강북구,일반국도,3번,삼양로,3.0,서울특별시 강북구 삼양로77길 66,,37.6287011,127.0149752,빨래곳 방앗간,4,0,,,99.0,2018.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
420,40,서울특별시,강북구,일반국도,3번,삼양로,3.0,서울특별시 강북구 삼양로77길 38,,37.6294416,127.0161425,한빛예술단,4,0,,,99.0,2018.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
421,41,서울특별시,강북구,일반국도,3번,삼양로,3.0,서울특별시 강북구 삼양로145길 7,,37.65154554,127.0122203,솔밭근린공원,4,0,,,99.0,2020.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
422,42,서울특별시,강북구,일반국도,3번,솔샘로,1.0,서울특별시 강북구 솔샘로 229-1,,37.62014362,127.0182276,미양 온누리약국,4,0,,,99.0,2020.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
423,43,서울특별시,강북구,일반국도,3번,인수봉로,3.0,서울특별시 강북구 인수봉로23가길 3,,37.62770912,127.0118222,SH스카이 아파트,4,0,,,99.0,2020.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
424,44,서울특별시,강북구,일반국도,3번,삼양로,2.0,서울특별시 강북구 삼양로 416,,37.64061418,127.0171631,가오리소방서 앞 사거리,4,0,,,99.0,2020.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
425,주차50,서울특별시,강동구,구도,0,상일로10길,3.0,서울특별시 강동구 상일로10길 36,,37.5508023,127.1740049,고덕리엔파크3단지 서문,4,0,,,,,서울특별시 강동구청,02-3425-6317,2020-11-20,3240000,서울특별시 강동구
426,주차51,서울특별시,강동구,시도,0,진황도로,3.0,서울특별시 강동구 진황도로 190,,37.52925982,127.142983,보훈병원 사거리,4,0,,,,,서울특별시 강동구청,02-3425-6317,2020-11-20,3240000,서울특별시 강동구
427,주차52,서울특별시,강동구,시도,0,올림픽로,3.0,서울특별시 강동구 올림픽로721,,37.5457433,127.125758,천호공원 사거리,4,0,,,,,서울특별시 강동구청,02-3425-6317,2020-11-20,3240000,서울특별시 강동구
428,주차53,서울특별시,강동구,시도,0,상일로,3.0,서울특별시 강동구 상일로 21,,37.5489164,127.1729356,삼성엔지니어링 입구 사거리,4,0,,,,,서울특별시 강동구청,02-3425-6317,2020-11-20,3240000,서울특별시 강동구
429,주차54,서울특별시,강동구,시도,0,천호대로,3.0,서울특별시 강동구 천호대로 1032,,37.5373037,127.1265119,국민은행 천호역지점 앞,4,0,,,,,서울특별시 강동구청,02-3425-6317,2020-11-20,3240000,서울특별시 강동구
430,주차55,서울특별시,강동구,시도,0,아리수로,3.0,서울특별시 강동구 아리수로 426,,37.5637274,127.1746656,"강일3,6단지 교차로",4,0,,,,,서울특별시 강동구청,02-3425-6317,2020-11-20,3240000,서울특별시 강동구
431,주차56,서울특별시,강동구,시도,0,아리수로,3.0,서울특별시 강동구 아리수로50길 50,,37.5576891371,127.149669,두레근린공원사거리,4,0,,,,,서울특별시 강동구청,02-3425-6317,2020-11-20,3240000,서울특별시 강동구
432,주차57,서울특별시,강동구,시도,0,성안로,3.0,서울특별시 강동구 성안로 76,,37.530378,127.132033,농협입구교차로,4,0,,,,,서울특별시 강동구청,02-3425-6317,2020-11-20,3240000,서울특별시 강동구
433,주차58,서울특별시,강동구,시도,0,상일로,3.0,서울특별시 강동구 상일로11길 110,,37.553392,127.165104,고현초교 앞,4,0,,,,,서울특별시 강동구청,02-3425-6317,2020-11-20,3240000,서울특별시 강동구
434,6,서울특별시,강북구,일반국도,2번,오현로,1.0,서울특별시 강북구 오현로21길 76,,37.612849,127.034268,주차장 코너,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
435,7,서울특별시,강북구,일반국도,2번,오현로,1.0,서울특별시 강북구 오현로21길 62,,37.62530821,127.0339339,주차장 아래쪽,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
436,8,서울특별시,강북구,일반국도,3번,도봉로,1.0,서울특별시 강북구 도봉로67길 18,,37.63072764,127.0226665,수유시장 주차장 입구,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
437,9,서울특별시,강북구,일반국도,3번,도봉로,2.0,서울특별시 강북구 도봉로67길 18,,37.63072764,127.0226665,수유시장 상가 입구,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
438,10,서울특별시,강북구,일반국도,3번,오현로,2.0,서울특별시 강북구 오현로 128,,37.62410326,127.0379751,동문아파트,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
439,11,서울특별시,강북구,일반국도,3번,월계로,2.0,서울특별시 강북구 월계로 173,,37.62025563,127.0443254,아트센터1,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
440,12,서울특별시,강북구,일반국도,3번,월계로,2.0,서울특별시 강북구 월계로 173,,37.62025563,127.0443254,아트센터2,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
441,13,서울특별시,강북구,일반국도,3번,도봉로,2.0,서울특별시 강북구 도봉로 338,,37.612849,127.030592,파리바게뜨,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
442,14,서울특별시,강북구,일반국도,3번,도봉로,1.0,서울특별시 강북구 도봉로 338,,37.612849,127.030592,삼천리자전거,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
443,15,서울특별시,강북구,일반국도,3번,도봉로,1.0,서울특별시 강북구 도봉로 338,,37.612849,127.030592,고신경외과,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
444,16,서울특별시,강북구,고속국도,3번,한천로,1.0,서울특별시 강북구 한천로 1019,,37.63886777,127.028174,토마토24시,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
445,17,서울특별시,강북구,고속국도,3번,오패산로,1.0,서울특별시 강북구 오패산로 406,,37.63717057,127.0270418,강북경찰서,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
446,18,서울특별시,강북구,고속국도,3번,오패산로,1.0,서울특별시 강북구 오패산로 390,,37.63616116,127.0283511,gs25시,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
447,19,서울특별시,강북구,고속국도,3번,덕릉로,1.0,서울특별시 강북구 덕릉로 108,,37.63465894,127.0256451,강북여성인력개발센터,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
448,20,서울특별시,강북구,일반국도,3번,덕릉로,2.0,서울특별시 강북구 덕릉로 136,,37.63484922,127.0287721,창강빌딩,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
449,21,서울특별시,강북구,일반국도,3번,덕릉로,2.0,서울특별시 강북구 덕릉로 162,,37.63512592,127.0319081,강북북부시장,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
450,22,서울특별시,강북구,일반국도,3번,솔샘로,1.0,서울특별시 강북구 솔샘로 255,,37.61960251,127.0213311,올레매장,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
451,23,서울특별시,강북구,일반국도,3번,솔샘로,2.0,서울특별시 강북구 솔샘로 277-4,,37.61888848,127.0236597,강북재활용,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
452,24,서울특별시,강북구,일반국도,3번,솔샘로,1.0,서울특별시 강북구 솔샘로 299,,37.61819609,127.0257436,대광빌딩,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
453,25,서울특별시,강북구,일반국도,3번,솔샘로,1.0,서울특별시 강북구 솔샘로 315,,37.61739926,127.0273155,신성교회,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
454,26,서울특별시,강북구,일반국도,3번,솔샘로,1.0,서울특별시 강북구 솔샘로 330,,37.6169845,127.028593,능이마을,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
455,27,서울특별시,강북구,일반국도,3번,솔샘로,1.0,서울특별시 강북구 솔샘로48길 17-3,,37.61915975,127.0181775,수마트,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
456,28,서울특별시,강북구,일반국도,3번,삼양로,2.0,서울특별시 강북구 삼양로27길 61-10,,37.61870946,127.0168001,미아사입구,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
457,29,서울특별시,강북구,일반국도,3번,삼양로,2.0,서울특별시 강북구 삼양로27길 43,,37.61855058,127.018861,t월드매장,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
458,30,서울특별시,강북구,일반국도,3번,삼양로,2.0,서울특별시 강북구 삼양로27길 35,,37.61845678,127.0194097,삼양제일교회,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
459,31,서울특별시,강북구,일반국도,3번,삼양로,2.0,서울특별시 강북구 삼양로27길 19,,37.61612462,127.0217424,래미안아파트,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
460,32,서울특별시,강북구,일반국도,3번,월계로,2.0,서울특별시 강북구 월계로37길 65,,37.62439627,127.0451253,번동한진아파트,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
461,33,서울특별시,강북구,일반국도,3번,한천로,2.0,서울특별시 강북구 한천로105길 21,,37.62586611,127.0465898,번3동주민센터,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
484,1,서울특별시,강북구,일반국도,3번,도봉로,1.0,서울특별시 강북구 도봉로8길 32,,37.61215438,127.0318077,심가네맷돌빈대떡,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
485,2,서울특별시,강북구,일반국도,3번,도봉로,1.0,서울특별시 강북구 도봉로8길 8,,37.61268086,127.0306799,미아사거리역2번출구,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
486,3,서울특별시,강북구,일반국도,3번,도봉로,1.0,서울특별시 강북구 도봉로10길 46,,37.61464852,127.0310386,롯데백화점 후문,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
487,4,서울특별시,강북구,일반국도,2번,도봉로,1.0,서울특별시 강북구 도봉로10길 73,,37.61587036,127.0306631,"현주스킨,바디",4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
488,5,서울특별시,강북구,일반국도,2번,오현로,1.0,서울특별시 강북구 오현로21길 88,,37.62517872,127.0330457,주차장위쪽,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
1135,N148,서울특별시,금천구,특별시도,0,가산로 99,3.0,서울특별시 금천구 가산로 가산테라타워 교차로 앞,서울특별시 금천구 가산로 99,37.474541,126.890729,서울특별시 금천구 가산로 가산테라타워 교차로 앞,4,0,,,2.0,2020.0,금천구청,02-2627-1763,2021-02-01,3170000,서울특별시 금천구
1136,N149,서울특별시,금천구,특별시도,0,벚꽃로38길 29,3.0,서울특별시 금천구 벚꽃로 먹거리촌 앞 회전교차로,서울특별시 금천구 가산동 42-5,37.48232335,126.8846235,서울특별시 금천구 벚꽃로 먹거리촌 앞 회전교차로,4,0,,,2.0,2020.0,금천구청,02-2627-1763,2021-02-01,3170000,서울특별시 금천구
1137,N150,서울특별시,금천구,특별시도,0,독산로85길 36,3.0,서울특별시 금천구 독산로 독산 오르페움타워 앞,서울특별시 금천구 독산로85길 36,37.47256276,126.9015929,서울특별시 금천구 독산 오르페움타워 앞,4,0,,,,2020.0,금천구청,02-2627-1763,2021-02-01,3170000,서울특별시 금천구
1138,N151,서울특별시,금천구,특별시도,0,가산디지털2로 40,3.0,서울특별시 금천구 가산디지털2로 홍주 인터내셔널 앞 사거리,서울특별시 금천구 가산동 327-4,37.47227683,126.8833393,서울특별시 금천구 홍주 인터내셔널 앞 사거리,4,0,,,,2020.0,금천구청,02-2627-1763,2021-02-01,3170000,서울특별시 금천구
1139,N152,서울특별시,금천구,특별시도,0,가산디지털1로 83,3.0,서울특별시 금천구 가산디지털1로 파트너스타워1차 앞 삼거리,서울특별시 금천구 가산동 345-13,37.47322077,126.8842986,서울특별시 금천구 파트너스타워1차 앞 삼거리,4,0,,,,2020.0,금천구청,02-2627-1763,2021-02-01,3170000,서울특별시 금천구
1140,N153,서울특별시,금천구,특별시도,0,가산디지털2로 165,3.0,서울특별시 금천구 가산디지털2로 백상스타타워2차 앞 사거리,서울특별시 금천구 가산동 459-22,37.48243138,126.8774639,서울특별시 금천구 백상스타타워2차 앞 사거리,4,0,,,,2020.0,금천구청,02-2627-1763,2021-02-01,3170000,서울특별시 금천구
1141,N154,서울특별시,금천구,특별시도,0,가산디지털1로 205,3.0,서울특별시 금천구 가산디지털1로 KCC 웰츠벨리 앞 삼거리,서울특별시 금천구 가산동 470-8,37.48393878,126.8795739,서울특별시 금천구 가산디지털1로  KCC 웰츠벨리 앞 삼거리,4,0,,,,2020.0,금천구청,02-2627-1763,2021-02-01,3170000,서울특별시 금천구
1142,N155,서울특별시,금천구,특별시도,0,시흥대로151길 45,3.0,서울특별시 금천구 시흥대로 덕산아파트상가 앞 사거리,서울특별시 금천구 가산동 148-1,37.47705419,126.8962169,서울특별시 금천구 시흥대로 덕산아파트상가 앞 사거리,4,0,,,2.0,2020.0,금천구청,02-2627-1763,2021-02-01,3170000,서울특별시 금천구
1143,N156,서울특별시,금천구,특별시도,0,독산로 87,3.0,서울특별시 금천구 독산로 시흥초등학교 앞 삼거리,서울특별시 금천구 시흥동 841-5,37.45514961,126.9057636,서울특별시 금천구 독산로 시흥초등학교 앞 삼거리,4,0,,,2.0,2020.0,금천구청,02-2627-1763,2021-02-01,3170000,서울특별시 금천구
1151,F5376,서울특별시,용산구,특별시도,,서빙고로,1.0,서울특별시 용산구 서빙고로 237,,37.520467,126.990515,서빙고역R,2,60,,,99.0,2009.0,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청
1213,N127,서울특별시,금천구,특별시도,0,가산로 7,3.0,서울특별시 금천구 가산로7 예수비전교회,서울특별시 금천구 독산동199-13,37.470909,126.902008,서울특별시 금천구가산로7 예수비전교회,4,0,,,,2015.0,금천구청,02-2627-1763,2021-02-01,3170000,서울특별시 금천구
1214,N128,서울특별시,금천구,특별시도,0,범안로 1256,3.0,서울특별시 금천구 범안로1256 일공공일안경점,서울특별시 금천구 독산동1037-3,37.466429,126.901711,서울특별시 금천구 범안로1256 일공공일안경점,4,0,,,2.0,2015.0,금천구청,02-2627-1763,2021-02-01,3170000,서울특별시 금천구
1215,N129,서울특별시,금천구,특별시도,0,독산로 41,3.0,서울특별시 금천구 독산로41 은행나무확장도로,서울특별시 금천구 시흥동896-31,37.450842,126.905848,서울특별시 금천구 독산로41 은행나무확장도로,4,0,,,,2015.0,금천구청,02-2627-1763,2021-02-01,3170000,서울특별시 금천구
1216,N130,서울특별시,금천구,특별시도,0,시흥대로48길 12-34,3.0,서울특별시 금천구 은행나무로12 경동택배,서울특별시 금천구 시흥동905-5,37.450124,126.903819,서울특별시 금천구 은행나무로12 경동택배,4,0,,,,2015.0,금천구청,02-2627-1763,2021-02-01,3170000,서울특별시 금천구
1217,N131,서울특별시,금천구,특별시도,0,벚꽃로 286,3.0,서울특별시 금천구 벚꽃로286 가산디지털단지역앞,서울특별시 금천구 가산동60-15,37.480473,126.883438,서울특별시 금천구 벚꽃로286 가산디지털단지역앞,4,0,,,,2015.0,금천구청,02-2627-1763,2021-02-01,3170000,서울특별시 금천구
1218,N132,서울특별시,금천구,특별시도,0,금하로24다길 50,3.0,서울특별시 금천구 금하로24다길50 시흥계곡입구,서울특별시 금천구 시흥동929-11,37.446707,126.910185,서울특별시 금천구 금하로24다길50 시흥계곡입구,4,0,,,,2015.0,금천구청,02-2627-1763,2021-02-01,3170000,서울특별시 금천구
