,과속방지턱관리번호,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로유형구분,규격여부,위도,경도,보차분리여부,연속형여부,과속방지턱설치년도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
18595,,01,서초구,샘마을길,,서울특별시 서초구 내곡동 1-1215,양지어린이집부근,1,01,10.0,360.0,830,01,Y,37.463454,127.070686,N,Y,,서울특별시서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18596,,01,서초구,샘마을길,,서울특별시 서초구 내곡동 1-1215,양지어린이집부근,1,01,10.0,360.0,1070,01,Y,37.463348,127.070763,N,Y,,서울특별시서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18597,,01,서초구,헌릉로468길,,서울특별시 서초구 내곡동 1-1074,교차로부근,1,01,10.0,360.0,400,02,Y,37.461294,127.090053,N,N,,서울특별시서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18598,,01,서초구,샘마을길,,서울특별시 서초구 내곡동 1-116,내곡동1-166번지밭출입구부근,1,01,10.0,360.0,460,02,Y,37.462503,127.071321,N,Y,,서울특별시서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18599,,01,서초구,샘마을길,,서울특별시 서초구 내곡동 1-117,내곡동1-117번지 비닐하우스부근,1,01,10.0,360.0,490,02,Y,37.462162,127.071446,N,Y,,서울특별시서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18600,,01,서초구,샘마을길,,서울특별시 서초구 내곡동 1-121,교차로부근,1,01,10.0,360.0,380,02,Y,37.461562,127.071751,N,N,,서울특별시서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18601,,01,서초구,샘마을길,,서울특별시 서초구 내곡동 1-131,교차로부근,1,01,10.0,360.0,710,01,Y,37.460703,127.071526,N,N,,서울특별시서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18602,,01,서초구,사평대로53길,,서울특별시 서초구 반포동 719-24,교차로부근,1,01,10.0,360.0,500,02,Y,37.507462,127.020515,N,N,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18603,,01,서초구,샘마을길,,서울특별시 서초구 내곡동 1-157,대왕사 교차로 부근,1,01,10.0,360.0,540,02,Y,37.459966,127.071303,N,Y,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18604,,01,서초구,샘마을길,,서울특별시 서초구 내곡동 1-165,대왕사 교차로 부근,1,01,10.0,360.0,600,01,Y,37.459700,127.071510,N,Y,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18605,,01,서초구,사평대로53길,,서울특별시 서초구 반포동 719-1,반포동 719-1 빌라 정문,1,01,10.0,360.0,700,01,Y,37.508066,127.020233,N,N,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18606,,01,서초구,샘마을길,,서울특별시 서초구 내곡동 1-2113,윗샘어린이공원 부근,1,01,10.0,360.0,670,01,Y,37.458277,127.071345,N,Y,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18607,,01,서초구,샘마을길,,서울특별시 서초구 내곡동 1-2046,내곡동 1-2020빌라 입구,1,01,10.0,360.0,660,01,Y,37.457916,127.071291,N,Y,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18608,,01,서초구,샘마을2길,,서울특별시 서초구 내곡동 1-2125,대정생고기 정문,1,01,10.0,360.0,450,02,Y,37.458018,127.071481,N,N,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18609,,01,서초구,샘마을2길,,서울특별시 서초구 내곡동 1-2003,소림사 부근,1,01,10.0,360.0,420,02,Y,37.459367,127.073209,N,N,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18610,,01,서초구,홍씨마을길,,서울특별시 서초구 내곡동 163-1,회전교차로 부근,1,01,10.0,360.0,710,01,Y,37.454347,127.065334,N,N,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18611,,01,서초구,능안말2길,,서울특별시 서초구 내곡동 168-12,회전교차로 부근,1,01,10.0,360.0,510,02,Y,37.454525,127.065477,N,N,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18612,,01,서초구,홍씨마을길,,서울특별시 서초구 내곡동 154-2,내곡어린이집 부근,1,01,10.0,360.0,610,01,Y,37.453214,127.065188,N,Y,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18613,,01,서초구,홍씨마을길,,서울특별시 서초구 내곡동 95-1,내곡어린이집 부근,1,01,10.0,360.0,620,01,Y,37.453001,127.065383,N,Y,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18614,,01,서초구,홍씨마을길,,서울특별시 서초구 내곡동 94-2,내곡어린이집 부근,1,01,10.0,360.0,610,01,Y,37.452838,127.065609,N,Y,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18615,,01,서초구,홍씨마을길,,서울특별시 서초구 내곡동 86-4,교차로부근,1,03,0.0,360.0,500,02,Y,37.451680,127.066121,N,Y,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18616,,01,서초구,홍씨마을길,,서울특별시 서초구 내곡동 88-14,내곡동 88-14 주차장 입구,1,01,10.0,360.0,490,02,Y,37.452008,127.066872,N,Y,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18617,,01,서초구,능안말1길,,서울특별시 서초구 내곡동 170-3,내곡동 170-3 인접,1,01,10.0,360.0,330,02,Y,37.455144,127.065832,N,N,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18618,,01,서초구,능안말1길,,서울특별시 서초구 내곡동 171-17,내곡동 171-17 정문,1,01,10.0,360.0,330,02,Y,37.455388,127.066610,N,N,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18619,,01,서초구,능안말길,,서울특별시 서초구 내곡동 5-6,미쉐린타이어 가인상사 부근,1,01,10.0,360.0,680,01,Y,37.455522,127.067447,N,Y,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18620,,01,서초구,능안말길,,서울특별시 서초구 내곡동 6-50,교차로 부근,1,01,10.0,360.0,470,02,Y,37.455204,127.067582,N,Y,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18621,,01,서초구,헌인릉1길,,서울특별시 서초구 내곡동 1-889,진영허브농원 부근,1,01,10.0,360.0,630,01,Y,37.465020,127.087422,N,N,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18622,,01,서초구,헌인릉1길,,서울특별시 서초구 내곡동 1-909,트리스&플라워 분재가든 부근,1,01,10.0,360.0,630,01,Y,37.464953,127.085990,N,N,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18623,,01,서초구,헌인릉1길,,서울특별시 서초구 내곡동 1-1589,아이데코 부근,1,01,10.0,360.0,630,01,Y,37.463490,127.084626,N,N,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18624,,01,서초구,헌인릉1길,,서울특별시 서초구 내곡동 1-1594,반포농원 부근,1,01,10.0,360.0,630,01,Y,37.461840,127.082350,N,N,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18625,,01,서초구,헌인릉길,,서울특별시 서초구 내곡동 1-1594,횡단보도 부근,1,03,0.0,360.0,1090,01,Y,37.461814,127.081942,Y,Y,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
18626,,01,서초구,헌인릉길,,서울특별시 서초구 내곡동 1-310,횡단보도 부근,1,03,0.0,360.0,1360,01,Y,37.461458,127.081907,Y,Y,,서울특별시 서초구청,02-2155-6991,2019-06-11,3210000.0,서울특별시 서초구
