,Unnamed: 0,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,전화번호,경도,위도,상권번호,데이터기준일자
410,2547,21916374,임장주안영주수학전문학원,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11680,강남구,1168060000,대치1동,1168010600,대치동,1168010600106510000,1,대지,651,,서울특별시 강남구 대치동 651,116802000003,서울특별시 강남구 남부순환로,2909,,1168010600106510000014441,여천빌딩,서울특별시 강남구 남부순환로 2909,135280,6280.0,,4,,02-566-1239,127.057395337984,37.4921723983972,,2017-08-18
412,2552,15508627,꼬레아트미술학원,,R,학문/교육,R05,학원-음악미술무용,R05A01,서예/서화/미술,P85620,예술 학원,11,서울특별시,11680,강남구,1168063000,대치4동,1168010600,대치동,1168010600109200000,1,대지,920,,서울특별시 강남구 대치동 920,116804166491,서울특별시 강남구 선릉로72길,12,,1168010600109200000013541,,서울특별시 강남구 선릉로72길 12,135843,6199.0,,2,,,127.05226227168998,37.5001507397365,1906.0,2017-09-30
414,2568,24789527,민선생오투독서실,,R,학문/교육,R10,도서관/독서실,R10A01,독서실,R90212,독서실 운영업,11,서울특별시,11650,서초구,1165053000,서초3동,1165010100,방배동,1165010100110020001,1,대지,1002,1.0,서울특별시 서초구 방배동 1002-1,116504163195,서울특별시 서초구 명달로9길,5,,1165010100110020001021580,정호빌딩,서울특별시 서초구 명달로9길 5,137060,6707.0,3,4,,02-585-8399,127.004473044598,37.481871730356495,,2016-01-27
423,2607,25527457,강남삼성,,R,학문/교육,R09,학원기타,R09A01,학원(종합),P85501,일반 교과 학원,11,서울특별시,11680,강남구,1168063000,대치4동,1168010600,대치동,1168010600109360011,1,대지,936,11.0,서울특별시 강남구 대치동 936-11,116804166486,서울특별시 강남구 선릉로64길,14,,1168010600109360011014117,,서울특별시 강남구 선릉로64길 14,135280,6206.0,,3,,02-3452-3450,127.05352469028401,37.497800092348,1906.0,2016-01-26
430,2625,22006062,연세아카데미학원,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11650,서초구,1165065100,양재1동,1165010300,우면동,1165010300100660002,1,대지,66,2.0,서울특별시 서초구 우면동 66-2,116504163219,서울특별시 서초구 바우뫼로7길,8,,1165010300100660002006030,우면종합상가,서울특별시 서초구 바우뫼로7길 8,137900,6762.0,,1,,02-573-6743,127.025364280016,37.470845760504105,,2017-10-30
442,2684,24666656,한우리독서논술,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11650,서초구,1165058100,반포4동,1165010700,반포동,1165010700100580002,1,대지,58,2.0,서울특별시 서초구 반포동 58-2,116503121001,서울특별시 서초구 고무래로,6,7.0,1165010700100580002016463,경화빌딩,서울특별시 서초구 고무래로 6-7,137040,6593.0,4,2,,02-595-8064,127.009263305682,37.5035643402913,1940.0,2017-10-07
443,2685,24736676,해법영어최상위학원,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11650,서초구,1165065100,양재1동,1165010200,양재동,1165010200101030000,1,대지,103,,서울특별시 서초구 양재동 103,116503121009,서울특별시 서초구 바우뫼로,106,,1165010200101030000005895,유남빌딩,서울특별시 서초구 바우뫼로 106,137130,6755.0,,2,,02-529-4121,127.032912266973,37.474656184889,,2017-10-30
454,2734,24889857,권선생영어교습소,,R,학문/교육,R04,학원-어학,R04A01,학원-외국어/어학,P85502,외국어학원,11,서울특별시,11680,강남구,1168060000,대치1동,1168010600,대치동,1168010600110140003,1,대지,1014,3.0,서울특별시 강남구 대치동 1014-3,116804166245,서울특별시 강남구 도곡로78길,22,,1168010600110140003014249,삼성아파트,서울특별시 강남구 도곡로78길 22,135968,6279.0,,,204,02-576-0535,127.058832161876,37.496626069128496,,2016-01-26
456,2741,20776363,매일오는영어교실,,R,학문/교육,R04,학원-어학,R04A01,학원-외국어/어학,P85502,외국어학원,11,서울특별시,11680,강남구,1168056500,청담동,1168010400,청담동,1168010400101340020,1,대지,134,20.0,서울특별시 강남구 청담동 134-20,116804166770,서울특별시 강남구 학동로101길,26,,1168010400101340020019007,청담삼익상가,서울특별시 강남구 학동로101길 26,135958,6077.0,,2,,02-546-0553,127.05760294292,37.522440520842096,2035.0,2016-01-27
457,2742,20769829,청담댄스아카데미,,R,학문/교육,R07,학원-예능취미체육,R07A17,학원-스포츠/재즈댄스,P85612,레크레이션 교육기관,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106640008,1,대지,664,8.0,서울특별시 강남구 신사동 664-8,116803122006,서울특별시 강남구 선릉로,837,,1168010700106640008009881,삼희빌딩,서울특별시 강남구 선릉로 837,135897,6018.0,,1,,02-544-7781,127.04009051975201,37.52684979835279,,2017-08-27
470,2790,25162587,역삼클로이하우스,,R,학문/교육,R10,도서관/독서실,R10A02,고시원,R90212,독서실 운영업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1168010100107400003,1,대지,740,3.0,서울특별시 강남구 역삼동 740-3,116804166201,서울특별시 강남구 논현로85길,33,,1168010100107400003024108,서북빌딩,서울특별시 강남구 논현로85길 33,135080,6237.0,,34,,02-566-5544,127.035400452985,37.498329281874206,1910.0,2017-09-17
471,2808,20951187,윈글리쉬,,R,학문/교육,R04,학원-어학,R04A01,학원-외국어/어학,P85502,외국어학원,11,서울특별시,11680,강남구,1168065500,도곡1동,1168011800,도곡동,1168011800105450007,1,대지,545,7.0,서울특별시 강남구 도곡동 545-7,116803122012,서울특별시 강남구 도곡로,176,,1168011800105450007000110,한웰빌딩,서울특별시 강남구 도곡로 176,135270,6261.0,,,,02-529-1593,127.038836232173,37.491446184004204,,2016-01-26
496,2921,24715064,서래피아노교습소,,R,학문/교육,R05,학원-음악미술무용,R05A02,피아노/바이올린/기타,P85620,예술 학원,11,서울특별시,11650,서초구,1165059000,방배본동,1165010100,방배동,1165010100107250000,1,대지,725,,서울특별시 서초구 방배동 725,116503121010,서울특별시 서초구 방배로,268,,1165010100107250000015589,방배삼호상가,서울특별시 서초구 방배로 268,137060,6574.0,,,202,02-536-3306,126.98840997655,37.4966747598542,,2016-01-26
505,3000,15494678,강남영재어린이집,,R,학문/교육,R08,유아교육,R08A02,어린이집,Q87210,보육시설 운영업,11,서울특별시,11680,강남구,1168065500,도곡1동,1168011800,도곡동,1168011800108950009,1,대지,895,9.0,서울특별시 강남구 도곡동 895-9,116804166094,서울특별시 강남구 남부순환로365길,34,,1168011800108950009000521,,서울특별시 강남구 남부순환로365길 34,135859,6270.0,,,104,,127.04009567107599,37.4875818774949,,2017-09-30
507,3005,20918970,양재왕수학보습학원,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11650,서초구,1165065100,양재1동,1165010300,우면동,1165010300100660002,1,대지,66,2.0,서울특별시 서초구 우면동 66-2,116504163219,서울특별시 서초구 바우뫼로7길,8,,1165010300100660002006030,우면종합상가,서울특별시 서초구 바우뫼로7길 8,137900,6762.0,,,,02-576-4402,127.025364280016,37.470845760504105,,2016-01-26
529,3107,24798567,이젠오즈수학교습소,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11650,서초구,1165062000,방배3동,1165010100,방배동,1165010100105390012,1,대지,539,12.0,서울특별시 서초구 방배동 539-12,116504163622,서울특별시 서초구 효령로20라길,1,,1165010100105390012010879,현영빌딩,서울특별시 서초구 효령로20라길 1,137060,6697.0,3,,,02-585-3558,126.99323751165701,37.4782443872089,,2016-01-27
544,3165,25265936,니꼴라오어린이집,,R,학문/교육,R08,유아교육,R08A02,어린이집,Q87210,보육시설 운영업,11,서울특별시,11650,서초구,1165065200,양재2동,1165010200,양재동,1165010200103960002,1,대지,396,2.0,서울특별시 서초구 양재동 396-2,116504163099,서울특별시 서초구 논현로5길,28,,1165010200103960002004360,포이동천주교회,서울특별시 서초구 논현로5길 28,137130,6783.0,,1,,02-575-5121,127.04816276561199,37.4720588205998,,2017-10-04
